station,measure,date,value
DAL,Aircraft On-Time Performance,2023-01-02,87.2
DAL,Aircraft On-Time Performance,2023-01-09,85.8
DAL,Aircraft On-Time Performance,2023-01-16,89.1
DAL,Aircraft On-Time Performance,2023-01-23,84.5
DAL,Aircraft On-Time Performance,2023-01-30,86.7
DAL,Maintenance Delays per 100 Departures,2023-01-02,2.1
DAL,Maintenance Delays per 100 Departures,2023-01-09,3.2
DAL,Maintenance Delays per 100 Departures,2023-01-16,1.8
DAL,Maintenance Delays per 100 Departures,2023-01-23,2.9
DAL,Maintenance Delays per 100 Departures,2023-01-30,2.4
DAL,Unscheduled Maintenance Events,2023-01-02,11.2
DAL,Unscheduled Maintenance Events,2023-01-09,14.8
DAL,Unscheduled Maintenance Events,2023-01-16,9.3
DAL,Unscheduled Maintenance Events,2023-01-23,13.7
DAL,Unscheduled Maintenance Events,2023-01-30,10.6
DAL,Aircraft Availability Rate,2023-01-02,93.4
DAL,Aircraft Availability Rate,2023-01-09,90.8
DAL,Aircraft Availability Rate,2023-01-16,95.1
DAL,Aircraft Availability Rate,2023-01-23,89.2
DAL,Aircraft Availability Rate,2023-01-30,92.3
DAL,Ground Support Equipment Reliability,2023-01-02,97.1
DAL,Ground Support Equipment Reliability,2023-01-09,95.8
DAL,Ground Support Equipment Reliability,2023-01-16,98.3
DAL,Ground Support Equipment Reliability,2023-01-23,94.6
DAL,Ground Support Equipment Reliability,2023-01-30,96.7
DAL,Baggage Handling Performance,2023-01-02,99.4
DAL,Baggage Handling Performance,2023-01-09,98.8
DAL,Baggage Handling Performance,2023-01-16,99.6
DAL,Baggage Handling Performance,2023-01-23,98.2
DAL,Baggage Handling Performance,2023-01-30,99.1
HOU,Aircraft On-Time Performance,2023-01-02,86.8
HOU,Aircraft On-Time Performance,2023-01-09,88.1
HOU,Aircraft On-Time Performance,2023-01-16,85.4
HOU,Aircraft On-Time Performance,2023-01-23,87.9
HOU,Aircraft On-Time Performance,2023-01-30,86.2
