station,measure,date,value
DAL,MEL Rate (Daily Bar),2025-09-15,0.342
DAL,MEL Rate (Daily Bar),2025-09-16,0.298
DAL,MEL Rate (Daily Bar),2025-09-17,0.387
DAL,MEL Rate (Daily Bar),2025-09-18,0.315
DAL,MEL Rate (Daily Bar),2025-09-19,0.276
DAL,MEL Rate (Daily Bar),2025-09-20,0.401
DAL,MEL Rate (Daily Bar),2025-09-21,0.289
DAL,MEL Rate (Daily Bar),2025-09-22,0.334
DAL,MEL Rate (Daily Bar),2025-09-23,0.312
DAL,MEL Rate (Daily Bar),2025-09-24,0.365
DAL,MEL Rate (Daily Bar),2025-09-25,0.283
DAL,MEL Rate (Daily Bar),2025-09-26,0.398
DAL,MEL Rate (Daily Bar),2025-09-27,0.321
DAL,MEL Rate (Daily Bar),2025-09-28,0.356
DAL,MEL Rate (Daily Bar),2025-09-29,0.294
DAL,MEL Rate (Daily Bar),2025-09-30,0.372
DAL,MEL Rate (Daily Bar),2025-10-01,0.308
DAL,MEL Rate (Daily Bar),2025-10-02,0.339
DAL,MEL Rate (Daily Bar),2025-10-03,0.285
DAL,MEL Rate (Daily Bar),2025-10-04,0.391
DAL,MEL Rate (Daily Bar),2025-10-05,0.317
DAL,MEL Rate (Daily Bar),2025-10-06,0.348
DAL,MEL Rate (Daily Bar),2025-10-07,0.296
DAL,MEL Rate (Daily Bar),2025-10-08,0.374
DAL,MEL Rate (Daily Bar),2025-10-09,0.302
DAL,MEL Rate (Daily Bar),2025-10-10,0.331
DAL,MEL Rate (Daily Bar),2025-10-11,0.278
DAL,MEL Rate (Daily Bar),2025-10-12,0.385
DAL,MEL Rate (Daily Bar),2025-10-13,0.314
DAL,MEL Rate (Daily Bar),2025-10-14,0.345
HOU,MEL Rate (Daily Bar),2025-09-15,0.328
HOU,MEL Rate (Daily Bar),2025-09-16,0.312
HOU,MEL Rate (Daily Bar),2025-09-17,0.375
HOU,MEL Rate (Daily Bar),2025-09-18,0.291
HOU,MEL Rate (Daily Bar),2025-09-19,0.334
HOU,MEL Rate (Daily Bar),2025-09-20,0.368
HOU,MEL Rate (Daily Bar),2025-09-21,0.305
HOU,MEL Rate (Daily Bar),2025-09-22,0.352
HOU,MEL Rate (Daily Bar),2025-09-23,0.318
HOU,MEL Rate (Daily Bar),2025-09-24,0.341
HOU,MEL Rate (Daily Bar),2025-09-25,0.286
HOU,MEL Rate (Daily Bar),2025-09-26,0.379
HOU,MEL Rate (Daily Bar),2025-09-27,0.323
HOU,MEL Rate (Daily Bar),2025-09-28,0.356
HOU,MEL Rate (Daily Bar),2025-09-29,0.299
HOU,MEL Rate (Daily Bar),2025-09-30,0.364
HOU,MEL Rate (Daily Bar),2025-10-01,0.311
HOU,MEL Rate (Daily Bar),2025-10-02,0.337
HOU,MEL Rate (Daily Bar),2025-10-03,0.282
HOU,MEL Rate (Daily Bar),2025-10-04,0.388
HOU,MEL Rate (Daily Bar),2025-10-05,0.315
HOU,MEL Rate (Daily Bar),2025-10-06,0.346
HOU,MEL Rate (Daily Bar),2025-10-07,0.293
HOU,MEL Rate (Daily Bar),2025-10-08,0.371
HOU,MEL Rate (Daily Bar),2025-10-09,0.308
HOU,MEL Rate (Daily Bar),2025-10-10,0.329
HOU,MEL Rate (Daily Bar),2025-10-11,0.275
HOU,MEL Rate (Daily Bar),2025-10-12,0.382
HOU,MEL Rate (Daily Bar),2025-10-13,0.312
HOU,MEL Rate (Daily Bar),2025-10-14,0.343
PHX,MEL Rate (Daily Bar),2025-09-15,0.335
