station,measure,date,value
DAL,EMO-MX,2024-12-16,0.984593838
DAL,EMO-MX,2024-12-17,0.985714286
DAL,EMO-MX,2024-12-18,0.982733813
DAL,EMO-MX,2024-12-19,0.978902954
DAL,EMO-MX,2024-12-20,0.981507824
DAL,EMO-MX,2024-12-21,0.98115942
DAL,EMO-MX,2024-12-22,0.974860335
DAL,EMO-MX,2024-12-23,0.976256983
DAL,EMO-MX,2024-12-24,0.982008996
DAL,EMO-MX,2024-12-25,0.986445783
DAL,EMO-MX,2024-12-26,0.978873239
DAL,EMO-MX,2024-12-27,0.979621543
DAL,EMO-MX,2024-12-28,0.973724884
DAL,EMO-MX,2024-12-29,0.981321839
DAL,EMO-MX,2024-12-30,0.980141844
DAL,EMO-MX,2024-12-31,0.98030303
DAL,EMO-MX,2025-01-01,0.983333333
DAL,EMO-MX,2025-01-02,0.975886525
DAL,EMO-MX,2025-01-03,0.986937591
DAL,EMO-MX,2025-01-04,0.987711214
DAL,EMO-MX,2025-01-05,0.979971388
DAL,EMO-MX,2025-01-06,0.971014493
DAL,EMO-MX,2025-01-07,0.977409639
DAL,EMO-MX,2025-01-08,0.983408748
DAL,EMO-MX,2025-01-09,0.982832618
DAL,EMO-MX,2025-01-10,0.976878613
DAL,EMO-MX,2025-01-11,0.97412481
DAL,EMO-MX,2025-01-12,0.985875706
DAL,EMO-MX,2025-01-13,0.978601997
DAL,EMO-MX,2025-01-14,0.980362538
HOU,EMO-MX,2024-12-16,0.984593838
HOU,EMO-MX,2024-12-17,0.985714286
HOU,EMO-MX,2024-12-18,0.982733813
HOU,EMO-MX,2024-12-19,0.978902954
HOU,EMO-MX,2024-12-20,0.981507824
HOU,EMO-MX,2024-12-21,0.98115942
HOU,EMO-MX,2024-12-22,0.974860335
HOU,EMO-MX,2024-12-23,0.976256983
HOU,EMO-MX,2024-12-24,0.982008996
HOU,EMO-MX,2024-12-25,0.986445783
HOU,EMO-MX,2024-12-26,0.978873239
HOU,EMO-MX,2024-12-27,0.979621543
HOU,EMO-MX,2024-12-28,0.973724884
HOU,EMO-MX,2024-12-29,0.981321839
HOU,EMO-MX,2024-12-30,0.980141844
HOU,EMO-MX,2024-12-31,0.98030303
HOU,EMO-MX,2025-01-01,0.983333333
HOU,EMO-MX,2025-01-02,0.975886525
HOU,EMO-MX,2025-01-03,0.986937591
HOU,EMO-MX,2025-01-04,0.987711214
HOU,EMO-MX,2025-01-05,0.979971388
HOU,EMO-MX,2025-01-06,0.971014493
HOU,EMO-MX,2025-01-07,0.977409639
HOU,EMO-MX,2025-01-08,0.983408748
HOU,EMO-MX,2025-01-09,0.982832618
HOU,EMO-MX,2025-01-10,0.976878613
HOU,EMO-MX,2025-01-11,0.97412481
HOU,EMO-MX,2025-01-12,0.985875706
HOU,EMO-MX,2025-01-13,0.978601997
HOU,EMO-MX,2025-01-14,0.980362538
AUS,EMO-MX,2024-12-16,0.984593838
AUS,EMO-MX,2024-12-17,0.985714286
AUS,EMO-MX,2024-12-18,0.982733813
AUS,EMO-MX,2024-12-19,0.978902954
AUS,EMO-MX,2024-12-20,0.981507824
AUS,EMO-MX,2024-12-21,0.98115942
AUS,EMO-MX,2024-12-22,0.974860335
AUS,EMO-MX,2024-12-23,0.976256983
AUS,EMO-MX,2024-12-24,0.982008996
AUS,EMO-MX,2024-12-25,0.986445783
AUS,EMO-MX,2024-12-26,0.978873239
AUS,EMO-MX,2024-12-27,0.979621543
AUS,EMO-MX,2024-12-28,0.973724884
AUS,EMO-MX,2024-12-29,0.981321839
AUS,EMO-MX,2024-12-30,0.980141844
AUS,EMO-MX,2024-12-31,0.98030303
AUS,EMO-MX,2025-01-01,0.983333333
AUS,EMO-MX,2025-01-02,0.975886525
AUS,EMO-MX,2025-01-03,0.986937591
AUS,EMO-MX,2025-01-04,0.987711214
AUS,EMO-MX,2025-01-05,0.979971388
AUS,EMO-MX,2025-01-06,0.971014493
AUS,EMO-MX,2025-01-07,0.977409639
AUS,EMO-MX,2025-01-08,0.983408748
AUS,EMO-MX,2025-01-09,0.982832618
AUS,EMO-MX,2025-01-10,0.976878613
AUS,EMO-MX,2025-01-11,0.97412481
AUS,EMO-MX,2025-01-12,0.985875706
AUS,EMO-MX,2025-01-13,0.978601997
AUS,EMO-MX,2025-01-14,0.980362538
