Date,Station,Measure,Rate,Denom,Numer
9-Oct-25,DAL,EMO-MX,0.984593838,714,11
8-Oct-25,DAL,EMO-MX,0.985714286,700,10
7-Oct-25,DAL,EMO-MX,0.982733813,695,12
6-Oct-25,DAL,EMO-MX,0.978902954,711,15
5-Oct-25,DAL,EMO-MX,0.981507824,703,13
4-Oct-25,DAL,EMO-MX,0.98115942,690,13
3-Oct-25,DAL,EMO-MX,0.974860335,716,18
2-Oct-25,DAL,EMO-MX,0.976256983,716,17
1-Oct-25,DAL,EMO-MX,0.982008996,667,12
30-Sep-25,DAL,EMO-MX,0.986445783,664,9
29-Sep-25,DAL,EMO-MX,0.978873239,710,15
28-Sep-25,DAL,EMO-MX,0.979621543,687,14
27-Sep-25,DAL,EMO-MX,0.973724884,647,17
26-Sep-25,DAL,EMO-MX,0.981321839,696,13
25-Sep-25,DAL,EMO-MX,0.980141844,705,14
24-Sep-25,DAL,EMO-MX,0.98030303,660,13
23-Sep-25,DAL,EMO-MX,0.983333333,660,11
22-Sep-25,DAL,EMO-MX,0.975886525,705,17
21-Sep-25,DAL,EMO-MX,0.986937591,689,9
20-Sep-25,DAL,EMO-MX,0.987711214,651,8
19-Sep-25,DAL,EMO-MX,0.979971388,699,14
18-Sep-25,DAL,EMO-MX,0.971014493,690,20
17-Sep-25,DAL,EMO-MX,0.977409639,664,15
16-Sep-25,DAL,EMO-MX,0.983408748,663,11
15-Sep-25,DAL,EMO-MX,0.982832618,699,12
14-Sep-25,DAL,EMO-MX,0.976878613,692,16
13-Sep-25,DAL,EMO-MX,0.97412481,657,17
12-Sep-25,DAL,EMO-MX,0.985875706,708,10
11-Sep-25,DAL,EMO-MX,0.978601997,701,15
10-Sep-25,DAL,EMO-MX,0.980362538,662,13
9-Oct-25,HOU,EMO-MX,0.984593838,714,11
8-Oct-25,HOU,EMO-MX,0.985714286,700,10
7-Oct-25,HOU,EMO-MX,0.982733813,695,12
6-Oct-25,HOU,EMO-MX,0.978902954,711,15
5-Oct-25,HOU,EMO-MX,0.981507824,703,13
4-Oct-25,HOU,EMO-MX,0.98115942,690,13
3-Oct-25,HOU,EMO-MX,0.974860335,716,18
2-Oct-25,HOU,EMO-MX,0.976256983,716,17
1-Oct-25,HOU,EMO-MX,0.982008996,667,12
30-Sep-25,HOU,EMO-MX,0.986445783,664,9
29-Sep-25,HOU,EMO-MX,0.978873239,710,15
28-Sep-25,HOU,EMO-MX,0.979621543,687,14
27-Sep-25,HOU,EMO-MX,0.973724884,647,17
26-Sep-25,HOU,EMO-MX,0.981321839,696,13
25-Sep-25,HOU,EMO-MX,0.980141844,705,14
24-Sep-25,HOU,EMO-MX,0.98030303,660,13
23-Sep-25,HOU,EMO-MX,0.983333333,660,11
22-Sep-25,HOU,EMO-MX,0.975886525,705,17
21-Sep-25,HOU,EMO-MX,0.986937591,689,9
20-Sep-25,HOU,EMO-MX,0.987711214,651,8
19-Sep-25,HOU,EMO-MX,0.979971388,699,14
18-Sep-25,HOU,EMO-MX,0.971014493,690,20
17-Sep-25,HOU,EMO-MX,0.977409639,664,15
16-Sep-25,HOU,EMO-MX,0.983408748,663,11
15-Sep-25,HOU,EMO-MX,0.982832618,699,12
14-Sep-25,HOU,EMO-MX,0.976878613,692,16
13-Sep-25,HOU,EMO-MX,0.97412481,657,17
12-Sep-25,HOU,EMO-MX,0.985875706,708,10
11-Sep-25,HOU,EMO-MX,0.978601997,701,15
10-Sep-25,HOU,EMO-MX,0.980362538,662,13
9-Oct-25,AUS,EMO-MX,0.984593838,714,11
8-Oct-25,AUS,EMO-MX,0.985714286,700,10
7-Oct-25,AUS,EMO-MX,0.982733813,695,12
6-Oct-25,AUS,EMO-MX,0.978902954,711,15
5-Oct-25,AUS,EMO-MX,0.981507824,703,13
4-Oct-25,AUS,EMO-MX,0.98115942,690,13
3-Oct-25,AUS,EMO-MX,0.974860335,716,18
2-Oct-25,AUS,EMO-MX,0.976256983,716,17
1-Oct-25,AUS,EMO-MX,0.982008996,667,12
30-Sep-25,AUS,EMO-MX,0.986445783,664,9
29-Sep-25,AUS,EMO-MX,0.978873239,710,15
28-Sep-25,AUS,EMO-MX,0.979621543,687,14
27-Sep-25,AUS,EMO-MX,0.973724884,647,17
26-Sep-25,AUS,EMO-MX,0.981321839,696,13
25-Sep-25,AUS,EMO-MX,0.980141844,705,14
24-Sep-25,AUS,EMO-MX,0.98030303,660,13
23-Sep-25,AUS,EMO-MX,0.983333333,660,11
22-Sep-25,AUS,EMO-MX,0.975886525,705,17
21-Sep-25,AUS,EMO-MX,0.986937591,689,9
20-Sep-25,AUS,EMO-MX,0.987711214,651,8
19-Sep-25,AUS,EMO-MX,0.979971388,699,14
18-Sep-25,AUS,EMO-MX,0.971014493,690,20
17-Sep-25,AUS,EMO-MX,0.977409639,664,15
16-Sep-25,AUS,EMO-MX,0.983408748,663,11
15-Sep-25,AUS,EMO-MX,0.982832618,699,12
14-Sep-25,AUS,EMO-MX,0.976878613,692,16
13-Sep-25,AUS,EMO-MX,0.97412481,657,17
12-Sep-25,AUS,EMO-MX,0.985875706,708,10
11-Sep-25,AUS,EMO-MX,0.978601997,701,15
10-Sep-25,AUS,EMO-MX,0.980362538,662,13
