station,measure,date,value
DAL,EMO-MX,2025-01-15,0.984593838
DAL,EMO-MX,2025-01-08,0.985714286
DAL,EMO-MX,2025-01-01,0.982733813
DAL,EMO-MX,2024-12-25,0.978902954
DAL,EMO-MX,2024-12-18,0.981507824
DAL,EMO-MX,2024-12-11,0.98115942
DAL,EMO-MX,2024-12-04,0.974860335
DAL,EMO-MX,2024-11-27,0.976256983
DAL,EMO-MX,2024-11-20,0.982008996
DAL,EMO-MX,2024-11-13,0.986445783
DAL,EMO-MX,2024-11-06,0.978873239
DAL,EMO-MX,2024-10-30,0.979621543
DAL,EMO-MX,2024-10-23,0.973724884
DAL,EMO-MX,2024-10-16,0.981321839
DAL,EMO-MX,2024-10-09,0.980141844
DAL,EMO-MX,2024-10-02,0.98030303
DAL,EMO-MX,2024-09-25,0.983333333
DAL,EMO-MX,2024-09-18,0.975886525
DAL,EMO-MX,2024-09-11,0.986937591
DAL,EMO-MX,2024-09-04,0.987711214
DAL,EMO-MX,2024-08-28,0.979971388
DAL,EMO-MX,2024-08-21,0.971014493
DAL,EMO-MX,2024-08-14,0.977409639
DAL,EMO-MX,2024-08-07,0.983408748
DAL,EMO-MX,2024-07-31,0.982832618
DAL,EMO-MX,2024-07-24,0.976878613
DAL,EMO-MX,2024-07-17,0.97412481
DAL,EMO-MX,2024-07-10,0.985875706
DAL,EMO-MX,2024-07-03,0.978601997
DAL,EMO-MX,2024-06-26,0.980362538
DAL,EMO-MX,2024-06-19,0.984593838
DAL,EMO-MX,2024-06-12,0.985714286
DAL,EMO-MX,2024-06-05,0.982733813
DAL,EMO-MX,2024-05-29,0.978902954
DAL,EMO-MX,2024-05-22,0.981507824
DAL,EMO-MX,2024-05-15,0.98115942
DAL,EMO-MX,2024-05-08,0.974860335
DAL,EMO-MX,2024-05-01,0.976256983
DAL,EMO-MX,2024-04-24,0.982008996
DAL,EMO-MX,2024-04-17,0.986445783
DAL,EMO-MX,2024-04-10,0.978873239
DAL,EMO-MX,2024-04-03,0.979621543
DAL,EMO-MX,2024-03-27,0.973724884
DAL,EMO-MX,2024-03-20,0.981321839
DAL,EMO-MX,2024-03-13,0.980141844
DAL,EMO-MX,2024-03-06,0.98030303
DAL,EMO-MX,2024-02-28,0.983333333
DAL,EMO-MX,2024-02-21,0.975886525
DAL,EMO-MX,2024-02-14,0.986937591
DAL,EMO-MX,2024-02-07,0.987711214
DAL,EMO-MX,2024-01-31,0.979971388
DAL,EMO-MX,2024-01-24,0.971014493
DAL,EMO-MX,2024-01-17,0.977409639
DAL,EMO-MX,2024-01-10,0.983408748
DAL,EMO-MX,2024-01-03,0.982832618
HOU,EMO-MX,2025-01-15,0.984593838
HOU,EMO-MX,2025-01-08,0.985714286
HOU,EMO-MX,2025-01-01,0.982733813
HOU,EMO-MX,2024-12-25,0.978902954
HOU,EMO-MX,2024-12-18,0.981507824
HOU,EMO-MX,2024-12-11,0.98115942
HOU,EMO-MX,2024-12-04,0.974860335
HOU,EMO-MX,2024-11-27,0.976256983
HOU,EMO-MX,2024-11-20,0.982008996
HOU,EMO-MX,2024-11-13,0.986445783
HOU,EMO-MX,2024-11-06,0.978873239
HOU,EMO-MX,2024-10-30,0.979621543
HOU,EMO-MX,2024-10-23,0.973724884
HOU,EMO-MX,2024-10-16,0.981321839
HOU,EMO-MX,2024-10-09,0.980141844
HOU,EMO-MX,2024-10-02,0.98030303
HOU,EMO-MX,2024-09-25,0.983333333
HOU,EMO-MX,2024-09-18,0.975886525
HOU,EMO-MX,2024-09-11,0.986937591
HOU,EMO-MX,2024-09-04,0.987711214
HOU,EMO-MX,2024-08-28,0.979971388
HOU,EMO-MX,2024-08-21,0.971014493
HOU,EMO-MX,2024-08-14,0.977409639
HOU,EMO-MX,2024-08-07,0.983408748
HOU,EMO-MX,2024-07-31,0.982832618
HOU,EMO-MX,2024-07-24,0.976878613
HOU,EMO-MX,2024-07-17,0.97412481
HOU,EMO-MX,2024-07-10,0.985875706
HOU,EMO-MX,2024-07-03,0.978601997
HOU,EMO-MX,2024-06-26,0.980362538
HOU,EMO-MX,2024-06-19,0.984593838
HOU,EMO-MX,2024-06-12,0.985714286
HOU,EMO-MX,2024-06-05,0.982733813
HOU,EMO-MX,2024-05-29,0.978902954
HOU,EMO-MX,2024-05-22,0.981507824
HOU,EMO-MX,2024-05-15,0.98115942
HOU,EMO-MX,2024-05-08,0.974860335
HOU,EMO-MX,2024-05-01,0.976256983
HOU,EMO-MX,2024-04-24,0.982008996
HOU,EMO-MX,2024-04-17,0.986445783
HOU,EMO-MX,2024-04-10,0.978873239
HOU,EMO-MX,2024-04-03,0.979621543
HOU,EMO-MX,2024-03-27,0.973724884
HOU,EMO-MX,2024-03-20,0.981321839
HOU,EMO-MX,2024-03-13,0.980141844
HOU,EMO-MX,2024-03-06,0.98030303
HOU,EMO-MX,2024-02-28,0.983333333
HOU,EMO-MX,2024-02-21,0.975886525
HOU,EMO-MX,2024-02-14,0.986937591
HOU,EMO-MX,2024-02-07,0.987711214
HOU,EMO-MX,2024-01-31,0.979971388
HOU,EMO-MX,2024-01-24,0.971014493
HOU,EMO-MX,2024-01-17,0.977409639
HOU,EMO-MX,2024-01-10,0.983408748
HOU,EMO-MX,2024-01-03,0.982832618
AUS,EMO-MX,2025-01-15,0.984593838
AUS,EMO-MX,2025-01-08,0.985714286
AUS,EMO-MX,2025-01-01,0.982733813
AUS,EMO-MX,2024-12-25,0.978902954
AUS,EMO-MX,2024-12-18,0.981507824
AUS,EMO-MX,2024-12-11,0.98115942
AUS,EMO-MX,2024-12-04,0.974860335
AUS,EMO-MX,2024-11-27,0.976256983
AUS,EMO-MX,2024-11-20,0.982008996
AUS,EMO-MX,2024-11-13,0.986445783
AUS,EMO-MX,2024-11-06,0.978873239
AUS,EMO-MX,2024-10-30,0.979621543
AUS,EMO-MX,2024-10-23,0.973724884
AUS,EMO-MX,2024-10-16,0.981321839
AUS,EMO-MX,2024-10-09,0.980141844
AUS,EMO-MX,2024-10-02,0.98030303
AUS,EMO-MX,2024-09-25,0.983333333
AUS,EMO-MX,2024-09-18,0.975886525
AUS,EMO-MX,2024-09-11,0.986937591
AUS,EMO-MX,2024-09-04,0.987711214
AUS,EMO-MX,2024-08-28,0.979971388
AUS,EMO-MX,2024-08-21,0.971014493
AUS,EMO-MX,2024-08-14,0.977409639
AUS,EMO-MX,2024-08-07,0.983408748
AUS,EMO-MX,2024-07-31,0.982832618
AUS,EMO-MX,2024-07-24,0.976878613
AUS,EMO-MX,2024-07-17,0.97412481
AUS,EMO-MX,2024-07-10,0.985875706
AUS,EMO-MX,2024-07-03,0.978601997
AUS,EMO-MX,2024-06-26,0.980362538
AUS,EMO-MX,2024-06-19,0.984593838
AUS,EMO-MX,2024-06-12,0.985714286
AUS,EMO-MX,2024-06-05,0.982733813
AUS,EMO-MX,2024-05-29,0.978902954
AUS,EMO-MX,2024-05-22,0.981507824
AUS,EMO-MX,2024-05-15,0.98115942
AUS,EMO-MX,2024-05-08,0.974860335
AUS,EMO-MX,2024-05-01,0.976256983
AUS,EMO-MX,2024-04-24,0.982008996
AUS,EMO-MX,2024-04-17,0.986445783
AUS,EMO-MX,2024-04-10,0.978873239
AUS,EMO-MX,2024-04-03,0.979621543
AUS,EMO-MX,2024-03-27,0.973724884
AUS,EMO-MX,2024-03-20,0.981321839
AUS,EMO-MX,2024-03-13,0.980141844
