timestamp,station,metric_value
1/3/2022,DAL,1.49158
1/10/2022,DAL,0.82119
1/17/2022,DAL,0.74283
1/24/2022,DAL,0.7859
1/31/2022,DAL,0.68553
2/7/2022,DAL,0.7128
2/14/2022,DAL,1.11258
2/21/2022,DAL,1.20472
2/28/2022,DAL,0.84668
3/7/2022,DAL,1.35152
3/14/2022,DAL,1.62012
3/21/2022,DAL,1.29744
3/28/2022,DAL,1.13412
4/4/2022,DAL,1.72699
4/11/2022,DAL,1.47867
4/18/2022,DAL,1.23392
4/25/2022,DAL,1.05801
5/2/2022,DAL,1.27429
5/9/2022,DAL,1.18757
5/16/2022,DAL,1.12413
5/23/2022,DAL,1.05167
5/30/2022,DAL,1.16426
6/6/2022,DAL,1.41639
6/13/2022,DAL,1.88567
6/20/2022,DAL,1.3215
6/27/2022,DAL,1.36282
7/4/2022,DAL,1.36916
7/11/2022,DAL,1.83847
7/18/2022,DAL,1.55844
7/25/2022,DAL,1.89839
8/1/2022,DAL,1.57577
8/8/2022,DAL,1.84007
8/15/2022,DAL,1.6333
8/22/2022,DAL,1.56335
8/29/2022,DAL,1.17238
9/5/2022,DAL,1.4981
9/12/2022,DAL,1.25304
9/19/2022,DAL,1.2023
9/26/2022,DAL,1.0618
10/3/2022,DAL,0.97677
10/10/2022,DAL,1.34976
10/17/2022,DAL,1.24995
10/24/2022,DAL,1.24731
10/31/2022,DAL,1.0275
11/7/2022,DAL,1.15064
11/14/2022,DAL,1.18729
11/21/2022,DAL,0.90255
11/28/2022,DAL,1.05766
12/5/2022,DAL,1.01885
12/12/2022,DAL,1.2975
12/19/2022,DAL,1.42478
12/26/2022,DAL,0.86307
1/2/2023,DAL,1.03643
1/9/2023,DAL,0.7604
1/16/2023,DAL,0.74517
1/23/2023,DAL,0.87685
1/30/2023,DAL,0.79433
2/6/2023,DAL,0.91556
2/13/2023,DAL,0.92348
2/20/2023,DAL,1.19353
2/27/2023,DAL,0.94827
3/6/2023,DAL,1.02579
3/13/2023,DAL,1.00756
3/20/2023,DAL,0.95683
3/27/2023,DAL,1.06394
4/3/2023,DAL,1.05717
4/10/2023,DAL,1.02945
4/17/2023,DAL,1.21436
4/24/2023,DAL,1.18802
5/1/2023,DAL,0.82954
5/8/2023,DAL,1.14769
5/15/2023,DAL,1.26382
5/22/2023,DAL,0.9629
5/29/2023,DAL,0.91063
6/5/2023,DAL,1.31259
6/12/2023,DAL,1.41046
6/19/2023,DAL,1.44632
6/26/2023,DAL,1.53948
7/3/2023,DAL,1.25013
7/10/2023,DAL,1.69617
7/17/2023,DAL,1.39462
7/24/2023,DAL,1.59043
7/31/2023,DAL,1.36237
8/7/2023,DAL,1.45404
8/14/2023,DAL,1.08238
8/21/2023,DAL,0.89998
8/28/2023,DAL,0.90841
9/4/2023,DAL,1.01544
9/11/2023,DAL,1.09431
9/18/2023,DAL,1.38265
9/25/2023,DAL,1.15109
10/2/2023,DAL,1.33853
10/9/2023,DAL,1.13901
10/16/2023,DAL,0.88367
10/23/2023,DAL,1.18519
10/30/2023,DAL,0.99624
11/6/2023,DAL,0.8981
11/13/2023,DAL,1.08366
11/20/2023,DAL,1.17929
11/27/2023,DAL,0.75812
12/4/2023,DAL,0.92506
12/11/2023,DAL,0.68751
12/18/2023,DAL,0.96388
12/25/2023,DAL,1.16991
1/1/2024,DAL,1.14478
1/8/2024,DAL,1.4408
1/15/2024,DAL,1.42375
1/22/2024,DAL,0.85876
1/29/2024,DAL,0.87837
2/5/2024,DAL,0.85585
2/12/2024,DAL,0.81338
2/19/2024,DAL,0.74259
2/26/2024,DAL,0.87551
3/4/2024,DAL,1.16793
3/11/2024,DAL,1.06938
3/18/2024,DAL,1.25698
3/25/2024,DAL,1.02113
4/1/2024,DAL,1.04975
4/8/2024,DAL,1.14838
4/15/2024,DAL,1.18034
4/22/2024,DAL,1.20457
4/29/2024,DAL,1.07335
5/6/2024,DAL,1.23253
