station,measure,date,value
DAL,Extreme_Delays,2025-01-15,0.83302
DAL,Extreme_Delays,2025-01-08,0.90143
DAL,Extreme_Delays,2025-01-01,0.96017
DAL,Extreme_Delays,2024-12-25,0.54385
DAL,Extreme_Delays,2024-12-18,0.52495
DAL,Extreme_Delays,2024-12-11,1.20937
DAL,Extreme_Delays,2024-12-04,1.33131
DAL,Extreme_Delays,2024-11-27,0.54537
DAL,Extreme_Delays,2024-11-20,1.0484
DAL,Extreme_Delays,2024-11-13,1.04667
DAL,Extreme_Delays,2024-11-06,0.86371
DAL,Extreme_Delays,2024-10-30,0.78944
DAL,Extreme_Delays,2024-10-23,1.36501
DAL,Extreme_Delays,2024-10-16,0.73634
DAL,Extreme_Delays,2024-10-09,0.94161
DAL,Extreme_Delays,2024-10-02,0.97375
DAL,Extreme_Delays,2024-09-25,1.10771
DAL,Extreme_Delays,2024-09-18,0.97285
DAL,Extreme_Delays,2024-09-11,1.32063
DAL,Extreme_Delays,2024-09-04,1.30678
DAL,Extreme_Delays,2024-08-28,1.15197
DAL,Extreme_Delays,2024-08-21,1.31552
DAL,Extreme_Delays,2024-08-14,1.65916
DAL,Extreme_Delays,2024-08-07,1.29368
DAL,Extreme_Delays,2024-07-31,1.60956
DAL,Extreme_Delays,2024-07-24,1.88828
DAL,Extreme_Delays,2024-07-17,1.84879
DAL,Extreme_Delays,2024-07-10,1.43248
DAL,Extreme_Delays,2024-07-03,1.27768
DAL,Extreme_Delays,2024-06-26,1.19674
DAL,Extreme_Delays,2024-06-19,0.95697
DAL,Extreme_Delays,2024-06-12,1.03864
DAL,Extreme_Delays,2024-06-05,0.92334
DAL,Extreme_Delays,2024-05-29,0.9056
DAL,Extreme_Delays,2024-05-22,0.88746
DAL,Extreme_Delays,2024-05-15,0.92205
DAL,Extreme_Delays,2024-05-08,0.95478
DAL,Extreme_Delays,2024-05-01,0.80118
DAL,Extreme_Delays,2024-04-24,1.14224
DAL,Extreme_Delays,2024-04-17,0.86108
DAL,Extreme_Delays,2024-04-10,0.97113
DAL,Extreme_Delays,2024-04-03,0.83244
DAL,Extreme_Delays,2024-03-27,0.68386
DAL,Extreme_Delays,2024-03-20,0.72179
DAL,Extreme_Delays,2024-03-13,0.70342
DAL,Extreme_Delays,2024-03-06,0.9512
DAL,Extreme_Delays,2024-02-28,0.96299
DAL,Extreme_Delays,2024-02-21,1.20007
DAL,Extreme_Delays,2024-02-14,0.85461
DAL,Extreme_Delays,2024-02-07,1.09663
DAL,Extreme_Delays,2024-01-31,0.83302
DAL,Extreme_Delays,2024-01-24,0.90143
DAL,Extreme_Delays,2024-01-17,0.96017
DAL,Extreme_Delays,2024-01-10,0.54385
DAL,Extreme_Delays,2024-01-03,0.52495
HOU,Extreme_Delays,2025-01-15,0.83302
HOU,Extreme_Delays,2025-01-08,0.90143
HOU,Extreme_Delays,2025-01-01,0.96017
HOU,Extreme_Delays,2024-12-25,0.54385
HOU,Extreme_Delays,2024-12-18,0.52495
HOU,Extreme_Delays,2024-12-11,1.20937
HOU,Extreme_Delays,2024-12-04,1.33131
HOU,Extreme_Delays,2024-11-27,0.54537
HOU,Extreme_Delays,2024-11-20,1.0484
HOU,Extreme_Delays,2024-11-13,1.04667
HOU,Extreme_Delays,2024-11-06,0.86371
HOU,Extreme_Delays,2024-10-30,0.78944
HOU,Extreme_Delays,2024-10-23,1.36501
HOU,Extreme_Delays,2024-10-16,0.73634
HOU,Extreme_Delays,2024-10-09,0.94161
HOU,Extreme_Delays,2024-10-02,0.97375
HOU,Extreme_Delays,2024-09-25,1.10771
HOU,Extreme_Delays,2024-09-18,0.97285
HOU,Extreme_Delays,2024-09-11,1.32063
HOU,Extreme_Delays,2024-09-04,1.30678
HOU,Extreme_Delays,2024-08-28,1.15197
HOU,Extreme_Delays,2024-08-21,1.31552
HOU,Extreme_Delays,2024-08-14,1.65916
HOU,Extreme_Delays,2024-08-07,1.29368
HOU,Extreme_Delays,2024-07-31,1.60956
HOU,Extreme_Delays,2024-07-24,1.88828
HOU,Extreme_Delays,2024-07-17,1.84879
HOU,Extreme_Delays,2024-07-10,1.43248
HOU,Extreme_Delays,2024-07-03,1.27768
HOU,Extreme_Delays,2024-06-26,1.19674
HOU,Extreme_Delays,2024-06-19,0.95697
HOU,Extreme_Delays,2024-06-12,1.03864
HOU,Extreme_Delays,2024-06-05,0.92334
HOU,Extreme_Delays,2024-05-29,0.9056
HOU,Extreme_Delays,2024-05-22,0.88746
HOU,Extreme_Delays,2024-05-15,0.92205
HOU,Extreme_Delays,2024-05-08,0.95478
HOU,Extreme_Delays,2024-05-01,0.80118
HOU,Extreme_Delays,2024-04-24,1.14224
HOU,Extreme_Delays,2024-04-17,0.86108
HOU,Extreme_Delays,2024-04-10,0.97113
HOU,Extreme_Delays,2024-04-03,0.83244
