station,measure,date,value
DAL,Scheduled_Maintenance_Findings,2025-01-15,8.2
DAL,Scheduled_Maintenance_Findings,2025-01-08,9.0
DAL,Scheduled_Maintenance_Findings,2025-01-01,8.2
DAL,Scheduled_Maintenance_Findings,2024-12-25,4.1
DAL,Scheduled_Maintenance_Findings,2024-12-18,7.0
DAL,Scheduled_Maintenance_Findings,2024-12-11,7.5
DAL,Scheduled_Maintenance_Findings,2024-12-04,7.3
DAL,Scheduled_Maintenance_Findings,2024-11-27,9.7
DAL,Scheduled_Maintenance_Findings,2024-11-20,9.6
DAL,Scheduled_Maintenance_Findings,2024-11-13,7.7
DAL,Scheduled_Maintenance_Findings,2024-11-06,7.5
DAL,Scheduled_Maintenance_Findings,2024-10-30,7.4
DAL,Scheduled_Maintenance_Findings,2024-10-23,9.0
DAL,Scheduled_Maintenance_Findings,2024-10-16,8.0
DAL,Scheduled_Maintenance_Findings,2024-10-09,7.4
DAL,Scheduled_Maintenance_Findings,2024-10-02,8.9
DAL,Scheduled_Maintenance_Findings,2024-09-25,8.9
DAL,Scheduled_Maintenance_Findings,2024-09-18,8.5
DAL,Scheduled_Maintenance_Findings,2024-09-11,9.7
DAL,Scheduled_Maintenance_Findings,2024-09-04,9.7
DAL,Scheduled_Maintenance_Findings,2024-08-28,7.1
DAL,Scheduled_Maintenance_Findings,2024-08-21,10.4
DAL,Scheduled_Maintenance_Findings,2024-08-14,12.3
DAL,Scheduled_Maintenance_Findings,2024-08-07,7.2
DAL,Scheduled_Maintenance_Findings,2024-07-31,7.0
DAL,Scheduled_Maintenance_Findings,2024-07-24,9.1
DAL,Scheduled_Maintenance_Findings,2024-07-17,7.5
DAL,Scheduled_Maintenance_Findings,2024-07-10,7.0
DAL,Scheduled_Maintenance_Findings,2024-07-03,9.1
DAL,Scheduled_Maintenance_Findings,2024-06-26,7.5
DAL,Scheduled_Maintenance_Findings,2024-06-19,7.0
DAL,Scheduled_Maintenance_Findings,2024-06-12,9.1
DAL,Scheduled_Maintenance_Findings,2024-06-05,7.5
DAL,Scheduled_Maintenance_Findings,2024-05-29,7.0
DAL,Scheduled_Maintenance_Findings,2024-05-22,9.1
DAL,Scheduled_Maintenance_Findings,2024-05-15,7.5
DAL,Scheduled_Maintenance_Findings,2024-05-08,7.0
DAL,Scheduled_Maintenance_Findings,2024-05-01,9.1
DAL,Scheduled_Maintenance_Findings,2024-04-24,7.5
DAL,Scheduled_Maintenance_Findings,2024-04-17,7.0
DAL,Scheduled_Maintenance_Findings,2024-04-10,9.1
DAL,Scheduled_Maintenance_Findings,2024-04-03,7.5
DAL,Scheduled_Maintenance_Findings,2024-03-27,7.0
DAL,Scheduled_Maintenance_Findings,2024-03-20,9.1
DAL,Scheduled_Maintenance_Findings,2024-03-13,7.5
DAL,Scheduled_Maintenance_Findings,2024-03-06,7.0
DAL,Scheduled_Maintenance_Findings,2024-02-28,9.1
