station,measure,date,value
DAL,Aircraft On-Time Performance,2023-01-02,87.2
DAL,Aircraft On-Time Performance,2023-01-09,85.8
DAL,Aircraft On-Time Performance,2023-01-16,89.1
DAL,Aircraft On-Time Performance,2023-01-23,84.5
DAL,Aircraft On-Time Performance,2023-01-30,86.7
DAL,Aircraft On-Time Performance,2023-02-06,88.3
DAL,Aircraft On-Time Performance,2023-02-13,85.9
DAL,Aircraft On-Time Performance,2023-02-20,87.4
DAL,Aircraft On-Time Performance,2023-02-27,86.1
DAL,Aircraft On-Time Performance,2023-03-06,89.2
DAL,Aircraft On-Time Performance,2023-03-13,84.8
DAL,Aircraft On-Time Performance,2023-03-20,87.6
DAL,Aircraft On-Time Performance,2023-03-27,85.3
DAL,Aircraft On-Time Performance,2023-04-03,88.9
DAL,Aircraft On-Time Performance,2023-04-10,86.4
DAL,Aircraft On-Time Performance,2023-04-17,87.8
DAL,Aircraft On-Time Performance,2023-04-24,85.7
DAL,Aircraft On-Time Performance,2023-05-01,89.5
DAL,Aircraft On-Time Performance,2023-05-08,84.2
DAL,Aircraft On-Time Performance,2023-05-15,87.1
DAL,Aircraft On-Time Performance,2023-05-22,86.8
DAL,Aircraft On-Time Performance,2023-05-29,88.6
DAL,Aircraft On-Time Performance,2023-06-05,85.4
DAL,Aircraft On-Time Performance,2023-06-12,87.9
DAL,Aircraft On-Time Performance,2023-06-19,86.2
DAL,Aircraft On-Time Performance,2023-06-26,89.3
DAL,Aircraft On-Time Performance,2023-07-03,84.7
DAL,Aircraft On-Time Performance,2023-07-10,87.5
DAL,Aircraft On-Time Performance,2023-07-17,85.9
DAL,Aircraft On-Time Performance,2023-07-24,88.1
DAL,Aircraft On-Time Performance,2023-07-31,86.6
DAL,Aircraft On-Time Performance,2023-08-07,87.3
DAL,Aircraft On-Time Performance,2023-08-14,85.8
DAL,Aircraft On-Time Performance,2023-08-21,89.0
DAL,Aircraft On-Time Performance,2023-08-28,84.9
DAL,Aircraft On-Time Performance,2023-09-04,87.7
