Date,Station,Measure,Rate,Denom,Numer,Value
2025-01-15,DAL,EMO-MX,0.984593838,714,11,
2025-01-15,DAL,Extreme_Delays,,,0.83302,
2025-01-15,DAL,Maintenance_Cancels,,,3.5,
2025-01-15,DAL,Maintenance_Delays,,,11.1,
2025-01-15,DAL,Scheduled_Maintenance_Findings,,,8.2,
2025-01-15,DAL,Unscheduled_Maintenance,,,9.9,
2025-01-08,DAL,EMO-MX,0.985714286,700,10,
2025-01-08,DAL,Extreme_Delays,,,0.90143,
2025-01-08,DAL,Maintenance_Cancels,,,3.0,
2025-01-08,DAL,Maintenance_Delays,,,15.8,
2025-01-08,DAL,Scheduled_Maintenance_Findings,,,9.0,
2025-01-08,DAL,Unscheduled_Maintenance,,,9.4,
2025-01-01,DAL,EMO-MX,0.982733813,695,12,
2025-01-01,DAL,Extreme_Delays,,,0.96017,
2025-01-01,DAL,Maintenance_Cancels,,,3.6,
2025-01-01,DAL,Maintenance_Delays,,,16.1,
2025-01-01,DAL,Scheduled_Maintenance_Findings,,,8.2,
2025-01-01,DAL,Unscheduled_Maintenance,,,8.4,
2024-12-25,DAL,EMO-MX,0.978902954,711,15,
2024-12-25,DAL,Extreme_Delays,,,0.54385,
2024-12-25,DAL,Maintenance_Cancels,,,4.4,
2024-12-25,DAL,Maintenance_Delays,,,14.7,
2024-12-25,DAL,Scheduled_Maintenance_Findings,,,4.1,
2024-12-25,DAL,Unscheduled_Maintenance,,,9.1,
2024-12-18,DAL,EMO-MX,0.981507824,703,13,
2024-12-18,DAL,Extreme_Delays,,,0.52495,
2024-12-18,DAL,Maintenance_Cancels,,,3.2,
2024-12-18,DAL,Maintenance_Delays,,,15.2,
2024-12-18,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-12-18,DAL,Unscheduled_Maintenance,,,7.2,
2024-12-11,DAL,EMO-MX,0.98115942,690,13,
2024-12-11,DAL,Extreme_Delays,,,1.20937,
2024-12-11,DAL,Maintenance_Cancels,,,2.9,
2024-12-11,DAL,Maintenance_Delays,,,17.6,
2024-12-11,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-12-11,DAL,Unscheduled_Maintenance,,,10.6,
2024-12-04,DAL,EMO-MX,0.974860335,716,18,
2024-12-04,DAL,Extreme_Delays,,,1.33131,
2024-12-04,DAL,Maintenance_Cancels,,,2.6,
2024-12-04,DAL,Maintenance_Delays,,,15.3,
2024-12-04,DAL,Scheduled_Maintenance_Findings,,,7.3,
2024-12-04,DAL,Unscheduled_Maintenance,,,9.7,
2024-11-27,DAL,EMO-MX,0.976256983,716,17,
2024-11-27,DAL,Extreme_Delays,,,0.54537,
2024-11-27,DAL,Maintenance_Cancels,,,3.6,
2024-11-27,DAL,Maintenance_Delays,,,13.7,
2024-11-27,DAL,Scheduled_Maintenance_Findings,,,9.7,
2024-11-27,DAL,Unscheduled_Maintenance,,,7.3,
2024-11-20,DAL,EMO-MX,0.982008996,667,12,
2024-11-20,DAL,Extreme_Delays,,,1.0484,
2024-11-20,DAL,Maintenance_Cancels,,,3.2,
2024-11-20,DAL,Maintenance_Delays,,,15.4,
2024-11-20,DAL,Scheduled_Maintenance_Findings,,,9.6,
2024-11-20,DAL,Unscheduled_Maintenance,,,7.7,
2024-11-13,DAL,EMO-MX,0.986445783,664,9,
2024-11-13,DAL,Extreme_Delays,,,1.04667,
2024-11-13,DAL,Maintenance_Cancels,,,2.7,
2024-11-13,DAL,Maintenance_Delays,,,11.2,
2024-11-13,DAL,Scheduled_Maintenance_Findings,,,7.7,
2024-11-13,DAL,Unscheduled_Maintenance,,,8.6,
2024-11-06,DAL,EMO-MX,0.978873239,710,15,
2024-11-06,DAL,Extreme_Delays,,,0.86371,
2024-11-06,DAL,Maintenance_Cancels,,,3.4,
2024-11-06,DAL,Maintenance_Delays,,,13.0,
2024-11-06,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-11-06,DAL,Unscheduled_Maintenance,,,11.0,
2024-10-30,DAL,EMO-MX,0.979621543,687,14,
2024-10-30,DAL,Extreme_Delays,,,0.78944,
2024-10-30,DAL,Maintenance_Cancels,,,3.0,
2024-10-30,DAL,Maintenance_Delays,,,12.9,
2024-10-30,DAL,Scheduled_Maintenance_Findings,,,7.4,
2024-10-30,DAL,Unscheduled_Maintenance,,,9.3,
2024-10-23,DAL,EMO-MX,0.973724884,647,17,
2024-10-23,DAL,Extreme_Delays,,,1.36501,
2024-10-23,DAL,Maintenance_Cancels,,,2.8,
2024-10-23,DAL,Maintenance_Delays,,,14.5,
2024-10-23,DAL,Scheduled_Maintenance_Findings,,,9.0,
2024-10-23,DAL,Unscheduled_Maintenance,,,9.3,
2024-10-16,DAL,EMO-MX,0.981321839,696,13,
2024-10-16,DAL,Extreme_Delays,,,0.73634,
2024-10-16,DAL,Maintenance_Cancels,,,2.6,
2024-10-16,DAL,Maintenance_Delays,,,15.8,
2024-10-16,DAL,Scheduled_Maintenance_Findings,,,8.0,
2024-10-16,DAL,Unscheduled_Maintenance,,,8.9,
2024-10-09,DAL,EMO-MX,0.980141844,705,14,
2024-10-09,DAL,Extreme_Delays,,,0.94161,
2024-10-09,DAL,Maintenance_Cancels,,,2.8,
2024-10-09,DAL,Maintenance_Delays,,,13.1,
2024-10-09,DAL,Scheduled_Maintenance_Findings,,,7.4,
2024-10-09,DAL,Unscheduled_Maintenance,,,10.9,
2024-10-02,DAL,EMO-MX,0.98030303,660,13,
2024-10-02,DAL,Extreme_Delays,,,0.97375,
2024-10-02,DAL,Maintenance_Cancels,,,2.8,
2024-10-02,DAL,Maintenance_Delays,,,14.3,
2024-10-02,DAL,Scheduled_Maintenance_Findings,,,8.9,
2024-10-02,DAL,Unscheduled_Maintenance,,,10.4,
2024-09-25,DAL,EMO-MX,0.983333333,660,11,
2024-09-25,DAL,Extreme_Delays,,,1.10771,
2024-09-25,DAL,Maintenance_Cancels,,,2.8,
2024-09-25,DAL,Maintenance_Delays,,,14.3,
2024-09-25,DAL,Scheduled_Maintenance_Findings,,,8.9,
2024-09-25,DAL,Unscheduled_Maintenance,,,10.4,
2024-09-18,DAL,EMO-MX,0.975886525,705,17,
2024-09-18,DAL,Extreme_Delays,,,0.97285,
2024-09-18,DAL,Maintenance_Cancels,,,2.8,
2024-09-18,DAL,Maintenance_Delays,,,12.0,
2024-09-18,DAL,Scheduled_Maintenance_Findings,,,8.5,
2024-09-18,DAL,Unscheduled_Maintenance,,,9.7,
2024-09-11,DAL,EMO-MX,0.986937591,689,9,
2024-09-11,DAL,Extreme_Delays,,,1.32063,
2024-09-11,DAL,Maintenance_Cancels,,,2.8,
2024-09-11,DAL,Maintenance_Delays,,,13.9,
2024-09-11,DAL,Scheduled_Maintenance_Findings,,,9.7,
2024-09-11,DAL,Unscheduled_Maintenance,,,10.7,
2024-09-04,DAL,EMO-MX,0.987711214,651,8,
2024-09-04,DAL,Extreme_Delays,,,1.30678,
2024-09-04,DAL,Maintenance_Cancels,,,2.8,
2024-09-04,DAL,Maintenance_Delays,,,13.1,
2024-09-04,DAL,Scheduled_Maintenance_Findings,,,9.7,
2024-09-04,DAL,Unscheduled_Maintenance,,,10.7,
2024-08-28,DAL,EMO-MX,0.979971388,699,14,
2024-08-28,DAL,Extreme_Delays,,,1.15197,
2024-08-28,DAL,Maintenance_Cancels,,,2.8,
2024-08-28,DAL,Maintenance_Delays,,,11.4,
2024-08-28,DAL,Scheduled_Maintenance_Findings,,,7.1,
2024-08-28,DAL,Unscheduled_Maintenance,,,9.3,
2024-08-21,DAL,EMO-MX,0.971014493,690,20,
2024-08-21,DAL,Extreme_Delays,,,1.31552,
2024-08-21,DAL,Maintenance_Cancels,,,2.8,
2024-08-21,DAL,Maintenance_Delays,,,14.6,
2024-08-21,DAL,Scheduled_Maintenance_Findings,,,10.4,
2024-08-21,DAL,Unscheduled_Maintenance,,,8.5,
2024-08-14,DAL,EMO-MX,0.977409639,664,15,
2024-08-14,DAL,Extreme_Delays,,,1.65916,
2024-08-14,DAL,Maintenance_Cancels,,,2.8,
2024-08-14,DAL,Maintenance_Delays,,,17.4,
2024-08-14,DAL,Scheduled_Maintenance_Findings,,,12.3,
2024-08-14,DAL,Unscheduled_Maintenance,,,14.0,
2024-08-07,DAL,EMO-MX,0.983408748,663,11,
2024-08-07,DAL,Extreme_Delays,,,1.29368,
2024-08-07,DAL,Maintenance_Cancels,,,2.8,
2024-08-07,DAL,Maintenance_Delays,,,11.6,
2024-08-07,DAL,Scheduled_Maintenance_Findings,,,7.2,
2024-08-07,DAL,Unscheduled_Maintenance,,,9.3,
2024-07-31,DAL,EMO-MX,0.982832618,699,12,
2024-07-31,DAL,Extreme_Delays,,,1.60956,
2024-07-31,DAL,Maintenance_Cancels,,,2.8,
2024-07-31,DAL,Maintenance_Delays,,,12.4,
2024-07-31,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-07-31,DAL,Unscheduled_Maintenance,,,10.7,
2024-07-24,DAL,EMO-MX,0.976878613,692,16,
2024-07-24,DAL,Extreme_Delays,,,1.88828,
2024-07-24,DAL,Maintenance_Cancels,,,2.8,
2024-07-24,DAL,Maintenance_Delays,,,12.2,
