Date,Station,Measure,Rate,Denom,Numer
2025-01-15,DAL,EMO-MX,0.984593838,714,11
2025-01-08,DAL,EMO-MX,0.985714286,700,10
2025-01-01,DAL,EMO-MX,0.982733813,695,12
2024-12-25,DAL,EMO-MX,0.978902954,711,15
2024-12-18,DAL,EMO-MX,0.981507824,703,13
2024-12-11,DAL,EMO-MX,0.98115942,690,13
2024-12-04,DAL,EMO-MX,0.974860335,716,18
2024-11-27,DAL,EMO-MX,0.976256983,716,17
2024-11-20,DAL,EMO-MX,0.982008996,667,12
2024-11-13,DAL,EMO-MX,0.986445783,664,9
2024-11-06,DAL,EMO-MX,0.978873239,710,15
2024-10-30,DAL,EMO-MX,0.979621543,687,14
2024-10-23,DAL,EMO-MX,0.973724884,647,17
2024-10-16,DAL,EMO-MX,0.981321839,696,13
2024-10-09,DAL,EMO-MX,0.980141844,705,14
2024-10-02,DAL,EMO-MX,0.98030303,660,13
2024-09-25,DAL,EMO-MX,0.983333333,660,11
2024-09-18,DAL,EMO-MX,0.975886525,705,17
2024-09-11,DAL,EMO-MX,0.986937591,689,9
2024-09-04,DAL,EMO-MX,0.987711214,651,8
2024-08-28,DAL,EMO-MX,0.979971388,699,14
2024-08-21,DAL,EMO-MX,0.971014493,690,20
2024-08-14,DAL,EMO-MX,0.977409639,664,15
2024-08-07,DAL,EMO-MX,0.983408748,663,11
2024-07-31,DAL,EMO-MX,0.982832618,699,12
2024-07-24,DAL,EMO-MX,0.976878613,692,16
2024-07-17,DAL,EMO-MX,0.97412481,657,17
2024-07-10,DAL,EMO-MX,0.985875706,708,10
2024-07-03,DAL,EMO-MX,0.978601997,701,15
2024-06-26,DAL,EMO-MX,0.980362538,662,13
2024-06-19,DAL,EMO-MX,0.984593838,714,11
2024-06-12,DAL,EMO-MX,0.985714286,700,10
2024-06-05,DAL,EMO-MX,0.982733813,695,12
2024-05-29,DAL,EMO-MX,0.978902954,711,15
2024-05-22,DAL,EMO-MX,0.981507824,703,13
2024-05-15,DAL,EMO-MX,0.98115942,690,13
2024-05-08,DAL,EMO-MX,0.974860335,716,18
2024-05-01,DAL,EMO-MX,0.976256983,716,17
2024-04-24,DAL,EMO-MX,0.982008996,667,12
2024-04-17,DAL,EMO-MX,0.986445783,664,9
2024-04-10,DAL,EMO-MX,0.978873239,710,15
2024-04-03,DAL,EMO-MX,0.979621543,687,14
2024-03-27,DAL,EMO-MX,0.973724884,647,17
2024-03-20,DAL,EMO-MX,0.981321839,696,13
2024-03-13,DAL,EMO-MX,0.980141844,705,14
2024-03-06,DAL,EMO-MX,0.98030303,660,13
2024-02-28,DAL,EMO-MX,0.983333333,660,11
2024-02-21,DAL,EMO-MX,0.975886525,705,17
2024-02-14,DAL,EMO-MX,0.986937591,689,9
2024-02-07,DAL,EMO-MX,0.987711214,651,8
2024-01-31,DAL,EMO-MX,0.979971388,699,14
2024-01-24,DAL,EMO-MX,0.971014493,690,20
2024-01-17,DAL,EMO-MX,0.977409639,664,15
2024-01-10,DAL,EMO-MX,0.983408748,663,11
2024-01-03,DAL,EMO-MX,0.982832618,699,12
2025-01-15,HOU,EMO-MX,0.984593838,714,11
2025-01-08,HOU,EMO-MX,0.985714286,700,10
2025-01-01,HOU,EMO-MX,0.982733813,695,12
2024-12-25,HOU,EMO-MX,0.978902954,711,15
2024-12-18,HOU,EMO-MX,0.981507824,703,13
2024-12-11,HOU,EMO-MX,0.98115942,690,13
2024-12-04,HOU,EMO-MX,0.974860335,716,18
2024-11-27,HOU,EMO-MX,0.976256983,716,17
2024-11-20,HOU,EMO-MX,0.982008996,667,12
2024-11-13,HOU,EMO-MX,0.986445783,664,9
2024-11-06,HOU,EMO-MX,0.978873239,710,15
2024-10-30,HOU,EMO-MX,0.979621543,687,14
2024-10-23,HOU,EMO-MX,0.973724884,647,17
2024-10-16,HOU,EMO-MX,0.981321839,696,13
2024-10-09,HOU,EMO-MX,0.980141844,705,14
2024-10-02,HOU,EMO-MX,0.98030303,660,13
2024-09-25,HOU,EMO-MX,0.983333333,660,11
2024-09-18,HOU,EMO-MX,0.975886525,705,17
2024-09-11,HOU,EMO-MX,0.986937591,689,9
2024-09-04,HOU,EMO-MX,0.987711214,651,8
2024-08-28,HOU,EMO-MX,0.979971388,699,14
2024-08-21,HOU,EMO-MX,0.971014493,690,20
2024-08-14,HOU,EMO-MX,0.977409639,664,15
2024-08-07,HOU,EMO-MX,0.983408748,663,11
2024-07-31,HOU,EMO-MX,0.982832618,699,12
2024-07-24,HOU,EMO-MX,0.976878613,692,16
2024-07-17,HOU,EMO-MX,0.97412481,657,17
2024-07-10,HOU,EMO-MX,0.985875706,708,10
2024-07-03,HOU,EMO-MX,0.978601997,701,15
2024-06-26,HOU,EMO-MX,0.980362538,662,13
2024-06-19,HOU,EMO-MX,0.984593838,714,11
2024-06-12,HOU,EMO-MX,0.985714286,700,10
2024-06-05,HOU,EMO-MX,0.982733813,695,12
2024-05-29,HOU,EMO-MX,0.978902954,711,15
2024-05-22,HOU,EMO-MX,0.981507824,703,13
2024-05-15,HOU,EMO-MX,0.98115942,690,13
