timestamp,station,metric_value
2025-01-15,DAL,0.83302
2025-01-08,DAL,0.90143
2025-01-01,DAL,0.96017
2024-12-25,DAL,0.54385
2024-12-18,DAL,0.52495
2024-12-11,DAL,1.20937
2024-12-04,DAL,1.33131
2024-11-27,DAL,0.54537
2024-11-20,DAL,1.0484
2024-11-13,DAL,1.04667
2024-11-06,DAL,0.86371
2024-10-30,DAL,0.78944
2024-10-23,DAL,1.36501
2024-10-16,DAL,0.73634
2024-10-09,DAL,0.94161
2024-10-02,DAL,0.97375
2024-09-25,DAL,1.10771
2024-09-18,DAL,0.97285
2024-09-11,DAL,1.32063
2024-09-04,DAL,1.30678
2024-08-28,DAL,1.15197
2024-08-21,DAL,1.31552
2024-08-14,DAL,1.65916
2024-08-07,DAL,1.29368
2024-07-31,DAL,1.60956
2024-07-24,DAL,1.88828
2024-07-17,DAL,1.84879
2024-07-10,DAL,1.43248
2024-07-03,DAL,1.27768
2024-06-26,DAL,1.19674
2024-06-19,DAL,0.95697
2024-06-12,DAL,1.03864
2024-06-05,DAL,0.92334
2024-05-29,DAL,0.9056
2024-05-22,DAL,0.88746
2024-05-15,DAL,0.92205
2024-05-08,DAL,0.95478
2024-05-01,DAL,0.80118
2024-04-24,DAL,1.14224
2024-04-17,DAL,0.86108
2024-04-10,DAL,0.97113
2024-04-03,DAL,0.83244
2024-03-27,DAL,0.68386
2024-03-20,DAL,0.72179
2024-03-13,DAL,0.70342
2024-03-06,DAL,0.9512
2024-02-28,DAL,0.96299
2024-02-21,DAL,1.20007
2024-02-14,DAL,0.85461
2024-02-07,DAL,1.09663
2024-01-31,DAL,0.83302
2024-01-24,DAL,0.90143
2024-01-17,DAL,0.96017
2024-01-10,DAL,0.54385
2024-01-03,DAL,0.52495
2025-01-15,HOU,0.83302
2025-01-08,HOU,0.90143
2025-01-01,HOU,0.96017
2024-12-25,HOU,0.54385
2024-12-18,HOU,0.52495
2024-12-11,HOU,1.20937
2024-12-04,HOU,1.33131
2024-11-27,HOU,0.54537
2024-11-20,HOU,1.0484
2024-11-13,HOU,1.04667
2024-11-06,HOU,0.86371
2024-10-30,HOU,0.78944
2024-10-23,HOU,1.36501
2024-10-16,HOU,0.73634
2024-10-09,HOU,0.94161
2024-10-02,HOU,0.97375
2024-09-25,HOU,1.10771
2024-09-18,HOU,0.97285
2024-09-11,HOU,1.32063
2024-09-04,HOU,1.30678
2024-08-28,HOU,1.15197
2024-08-21,HOU,1.31552
2024-08-14,HOU,1.65916
2024-08-07,HOU,1.29368
2024-07-31,HOU,1.60956
2024-07-24,HOU,1.88828
2024-07-17,HOU,1.84879
2024-07-10,HOU,1.43248
2024-07-03,HOU,1.27768
2024-06-26,HOU,1.19674
2024-06-19,HOU,0.95697
2024-06-12,HOU,1.03864
2024-06-05,HOU,0.92334
2024-05-29,HOU,0.9056
2024-05-22,HOU,0.88746
2024-05-15,HOU,0.92205
2024-05-08,HOU,0.95478
2024-05-01,HOU,0.80118
2024-04-24,HOU,1.14224
2024-04-17,HOU,0.86108
2024-04-10,HOU,0.97113
2024-04-03,HOU,0.83244
2024-03-27,HOU,0.68386
2024-03-20,HOU,0.72179
2024-03-13,HOU,0.70342
2024-03-06,HOU,0.9512
2024-02-28,HOU,0.96299
2024-02-21,HOU,1.20007
2024-02-14,HOU,0.85461
2024-02-07,HOU,1.09663
2024-01-31,HOU,0.83302
2024-01-24,HOU,0.90143
2024-01-17,HOU,0.96017
2024-01-10,HOU,0.54385
2024-01-03,HOU,0.52495
2025-01-15,AUS,0.83302
2025-01-08,AUS,0.90143
2025-01-01,AUS,0.96017
2024-12-25,AUS,0.54385
2024-12-18,AUS,0.52495
2024-12-11,AUS,1.20937
2024-12-04,AUS,1.33131
2024-11-27,AUS,0.54537
2024-11-20,AUS,1.0484
2024-11-13,AUS,1.04667
2024-11-06,AUS,0.86371
2024-10-30,AUS,0.78944
2024-10-23,AUS,1.36501
2024-10-16,AUS,0.73634
2024-10-09,AUS,0.94161
2024-10-02,AUS,0.97375
2024-09-25,AUS,1.10771
2024-09-18,AUS,0.97285
2024-09-11,AUS,1.32063
2024-09-04,AUS,1.30678
2024-08-28,AUS,1.15197
2024-08-21,AUS,1.31552
2024-08-14,AUS,1.65916
2024-08-07,AUS,1.29368
2024-07-31,AUS,1.60956
2024-07-24,AUS,1.88828
2024-07-17,AUS,1.84879
2024-07-10,AUS,1.43248
2024-07-03,AUS,1.27768
2024-06-26,AUS,1.19674
2024-06-19,AUS,0.95697
2024-06-12,AUS,1.03864
2024-06-05,AUS,0.92334
2024-05-29,AUS,0.9056
2024-05-22,AUS,0.88746
2024-05-15,AUS,0.92205
2024-05-08,AUS,0.95478
2024-05-01,AUS,0.80118
2024-04-24,AUS,1.14224
2024-04-17,AUS,0.86108
2024-04-10,AUS,0.97113
2024-04-03,AUS,0.83244
2024-03-27,AUS,0.68386
2024-03-20,AUS,0.72179
2024-03-13,AUS,0.70342
2024-03-06,AUS,0.9512
2024-02-28,AUS,0.96299
2024-02-21,AUS,1.20007
2024-02-14,AUS,0.85461
2024-02-07,AUS,1.09663
2024-01-31,AUS,0.83302
2024-01-24,AUS,0.90143
2024-01-17,AUS,0.96017
2024-01-10,AUS,0.54385
2024-01-03,AUS,0.52495
