timestamp,station,metric_value
2025-01-15,Austin,2.8
2025-01-15,Dallas,3.5
2025-01-15,Houston,2.7
2025-01-08,Austin,2.0
2025-01-08,Dallas,3.0
2025-01-08,Houston,3.4
2025-01-01,Austin,2.5
2025-01-01,Dallas,3.6
2025-01-01,Houston,5.1
2024-12-25,Austin,1.6
2024-12-25,Dallas,4.4
2024-12-25,Houston,4.4
2024-12-18,Austin,1.8
2024-12-18,Dallas,3.2
2024-12-18,Houston,4.5
2024-12-11,Austin,2.0
2024-12-11,Dallas,2.9
2024-12-11,Houston,4.1
2024-12-04,Austin,2.0
2024-12-04,Dallas,2.6
2024-12-04,Houston,4.1
2024-11-27,Austin,2.7
2024-11-27,Dallas,3.6
2024-11-27,Houston,4.5
2024-11-20,Austin,2.0
2024-11-20,Dallas,3.2
2024-11-20,Houston,5.5
2024-11-13,Austin,1.9
2024-11-13,Dallas,2.7
2024-11-13,Houston,4.8
2024-11-06,Austin,1.7
2024-11-06,Dallas,3.4
2024-11-06,Houston,4.1
2024-10-30,Austin,2.1
2024-10-30,Dallas,3.0
2024-10-30,Houston,4.3
2024-10-23,Austin,1.8
2024-10-23,Dallas,2.6
2024-10-23,Houston,4.6
2024-10-16,Austin,2.2
2024-10-16,Dallas,2.8
2024-10-16,Houston,4.0
2024-10-09,Austin,1.8
2024-10-09,Dallas,2.6
2024-10-09,Houston,4.6
2024-10-02,Austin,2.1
2024-10-02,Dallas,2.8
2024-10-02,Houston,4.0
2024-09-25,Austin,1.8
2024-09-25,Dallas,2.6
2024-09-25,Houston,4.6
2024-09-18,Austin,2.1
2024-09-18,Dallas,2.8
2024-09-18,Houston,4.0
2024-09-11,Austin,1.8
2024-09-11,Dallas,2.6
2024-09-11,Houston,4.6
2024-09-04,Austin,2.1
2024-09-04,Dallas,2.8
2024-09-04,Houston,4.0
2024-08-28,Austin,1.8
2024-08-28,Dallas,2.6
2024-08-28,Houston,4.6
2024-08-21,Austin,2.1
2024-08-21,Dallas,2.8
2024-08-21,Houston,4.0
2024-08-14,Austin,1.8
2024-08-14,Dallas,2.6
2024-08-14,Houston,4.6
2024-08-07,Austin,2.1
2024-08-07,Dallas,2.8
2024-08-07,Houston,4.0
2024-07-31,Austin,1.8
2024-07-31,Dallas,2.6
2024-07-31,Houston,4.6
2024-07-24,Austin,2.1
2024-07-24,Dallas,2.8
2024-07-24,Houston,4.0
2024-07-17,Austin,1.8
2024-07-17,Dallas,2.6
2024-07-17,Houston,4.6
2024-07-10,Austin,2.1
2024-07-10,Dallas,2.8
2024-07-10,Houston,4.0
2024-07-03,Austin,1.8
2024-07-03,Dallas,2.6
2024-07-03,Houston,4.6
2024-06-26,Austin,2.1
2024-06-26,Dallas,2.8
2024-06-26,Houston,4.0
2024-06-19,Austin,1.8
2024-06-19,Dallas,2.6
2024-06-19,Houston,4.6
2024-06-12,Austin,2.1
2024-06-12,Dallas,2.8
2024-06-12,Houston,4.0
2024-06-05,Austin,1.8
2024-06-05,Dallas,2.6
2024-06-05,Houston,4.6
2024-05-29,Austin,2.1
2024-05-29,Dallas,2.8
2024-05-29,Houston,4.0
2024-05-22,Austin,1.8
2024-05-22,Dallas,2.6
2024-05-22,Houston,4.6
2024-05-15,Austin,2.1
2024-05-15,Dallas,2.8
2024-05-15,Houston,4.0
2024-05-08,Austin,1.8
2024-05-08,Dallas,2.6
2024-05-08,Houston,4.6
2024-05-01,Austin,2.1
2024-05-01,Dallas,2.8
2024-05-01,Houston,4.0
2024-04-24,Austin,1.8
2024-04-24,Dallas,2.6
2024-04-24,Houston,4.6
2024-04-17,Austin,2.1
2024-04-17,Dallas,2.8
2024-04-17,Houston,4.0
2024-04-10,Austin,1.8
2024-04-10,Dallas,2.6
2024-04-10,Houston,4.6
2024-04-03,Austin,2.1
2024-04-03,Dallas,2.8
2024-04-03,Houston,4.0
2024-03-27,Austin,1.8
2024-03-27,Dallas,2.6
2024-03-27,Houston,4.6
2024-03-20,Austin,2.1
2024-03-20,Dallas,2.8
2024-03-20,Houston,4.0
2024-03-13,Austin,1.8
2024-03-13,Dallas,2.6
2024-03-13,Houston,4.6
2024-03-06,Austin,2.1
2024-03-06,Dallas,2.8
2024-03-06,Houston,4.0
2024-02-28,Austin,1.8
2024-02-28,Dallas,2.6
2024-02-28,Houston,4.6
2024-02-21,Austin,2.1
2024-02-21,Dallas,2.8
2024-02-21,Houston,4.0
2024-02-14,Austin,1.8
2024-02-14,Dallas,2.6
2024-02-14,Houston,4.6
2024-02-07,Austin,2.1
2024-02-07,Dallas,2.8
2024-02-07,Houston,4.0
2024-01-31,Austin,1.8
2024-01-31,Dallas,2.6
2024-01-31,Houston,4.6
2024-01-24,Austin,2.1
2024-01-24,Dallas,2.8
2024-01-24,Houston,4.0
2024-01-17,Austin,1.8
2024-01-17,Dallas,2.6
2024-01-17,Houston,4.6
2024-01-10,Austin,2.1
2024-01-10,Dallas,2.8
2024-01-10,Houston,4.0
2024-01-03,Austin,1.8
2024-01-03,Dallas,2.6
2024-01-03,Houston,4.6
