timestamp,station,metric_value
2025-01-15,Austin,13.0
2025-01-15,Dallas,11.1
2025-01-15,Houston,17.1
2025-01-08,Austin,10.5
2025-01-08,Dallas,15.8
2025-01-08,Houston,13.1
2025-01-01,Austin,14.0
2025-01-01,Dallas,16.1
2025-01-01,Houston,18.9
2024-12-25,Austin,14.7
2024-12-25,Dallas,14.7
2024-12-25,Houston,11.5
2024-12-18,Austin,10.8
2024-12-18,Dallas,15.2
2024-12-18,Houston,15.4
2024-12-11,Austin,13.5
2024-12-11,Dallas,17.6
2024-12-11,Houston,17.2
2024-12-04,Austin,10.1
2024-12-04,Dallas,15.3
2024-12-04,Houston,19.6
2024-11-27,Austin,9.8
2024-11-27,Dallas,13.7
2024-11-27,Houston,14.7
2024-11-20,Austin,13.4
2024-11-20,Dallas,15.4
2024-11-20,Houston,12.7
2024-11-13,Austin,12.8
2024-11-13,Dallas,11.2
2024-11-13,Houston,16.2
2024-11-06,Austin,10.1
2024-11-06,Dallas,13.0
2024-11-06,Houston,16.6
2024-10-30,Austin,9.8
2024-10-30,Dallas,12.9
2024-10-30,Houston,12.6
2024-10-23,Austin,12.5
2024-10-23,Dallas,14.5
2024-10-23,Houston,17.8
2024-10-16,Austin,10.8
2024-10-16,Dallas,15.8
2024-10-16,Houston,13.3
2024-10-09,Austin,12.0
2024-10-09,Dallas,14.5
2024-10-09,Houston,13.8
2024-10-02,Austin,12.0
2024-10-02,Dallas,14.3
2024-10-02,Houston,14.9
2024-09-25,Austin,10.7
2024-09-25,Dallas,14.3
2024-09-25,Houston,12.0
2024-09-18,Austin,10.9
2024-09-18,Dallas,11.9
2024-09-18,Houston,15.7
2024-09-11,Austin,13.9
2024-09-11,Dallas,13.1
2024-09-11,Houston,19.3
2024-09-04,Austin,11.4
2024-09-04,Dallas,14.6
2024-09-04,Houston,17.4
2024-08-28,Austin,10.7
2024-08-28,Dallas,11.6
2024-08-28,Houston,11.6
2024-08-21,Austin,13.1
2024-08-21,Dallas,13.8
2024-08-21,Houston,17.5
2024-08-14,Austin,11.2
2024-08-14,Dallas,14.5
2024-08-14,Houston,22.0
2024-08-07,Austin,10.8
2024-08-07,Dallas,12.3
2024-08-07,Houston,17.3
2024-07-31,Austin,12.1
2024-07-31,Dallas,11.2
2024-07-31,Houston,18.6
2024-07-24,Austin,12.5
2024-07-24,Dallas,12.2
2024-07-24,Houston,15.9
2024-07-17,Austin,11.8
2024-07-17,Dallas,12.4
2024-07-17,Houston,16.8
2024-07-10,Austin,12.9
2024-07-10,Dallas,16.1
2024-07-10,Houston,18.2
2024-07-03,Austin,10.3
2024-07-03,Dallas,14.5
2024-07-03,Houston,13.6
2024-06-26,Austin,12.9
2024-06-26,Dallas,14.5
2024-06-26,Houston,12.9
2024-06-19,Austin,13.5
2024-06-19,Dallas,8.3
2024-06-19,Houston,17.8
2024-06-12,Austin,12.3
2024-06-12,Dallas,17.1
2024-06-12,Houston,17.6
2024-06-05,Austin,15.7
2024-06-05,Dallas,12.0
2024-06-05,Houston,14.9
2024-05-29,Austin,10.0
2024-05-29,Dallas,14.4
2024-05-29,Houston,14.4
2024-05-22,Austin,8.3
2024-05-22,Dallas,14.2
2024-05-22,Houston,17.0
2024-05-15,Austin,13.9
2024-05-15,Dallas,12.0
2024-05-15,Houston,15.7
2024-05-08,Austin,13.2
2024-05-08,Dallas,13.1
2024-05-08,Houston,15.3
2024-05-01,Austin,15.1
2024-05-01,Dallas,14.5
2024-05-01,Houston,17.8
2024-04-24,Austin,12.7
2024-04-24,Dallas,10.5
2024-04-24,Houston,15.2
2024-04-17,Austin,15.4
2024-04-17,Dallas,13.4
2024-04-17,Houston,14.1
2024-04-10,Austin,10.8
2024-04-10,Dallas,15.8
2024-04-10,Houston,13.3
2024-04-03,Austin,12.0
2024-04-03,Dallas,14.5
2024-04-03,Houston,13.8
2024-03-27,Austin,12.0
2024-03-27,Dallas,14.3
2024-03-27,Houston,14.9
2024-03-20,Austin,10.7
2024-03-20,Dallas,14.3
2024-03-20,Houston,12.0
2024-03-13,Austin,10.9
2024-03-13,Dallas,11.9
2024-03-13,Houston,15.7
2024-03-06,Austin,13.9
2024-03-06,Dallas,13.1
2024-03-06,Houston,19.3
2024-02-28,Austin,11.4
2024-02-28,Dallas,14.6
2024-02-28,Houston,17.4
2024-02-21,Austin,10.7
2024-02-21,Dallas,11.6
2024-02-21,Houston,11.6
2024-02-14,Austin,13.1
2024-02-14,Dallas,13.8
2024-02-14,Houston,17.5
2024-02-07,Austin,11.2
2024-02-07,Dallas,14.5
2024-02-07,Houston,22.0
2024-01-31,Austin,10.8
2024-01-31,Dallas,12.3
2024-01-31,Houston,17.3
2024-01-24,Austin,12.1
2024-01-24,Dallas,11.2
2024-01-24,Houston,18.6
2024-01-17,Austin,12.5
2024-01-17,Dallas,12.2
2024-01-17,Houston,15.9
2024-01-10,Austin,11.8
2024-01-10,Dallas,12.4
2024-01-10,Houston,16.8
2024-01-03,Austin,12.9
2024-01-03,Dallas,16.1
2024-01-03,Houston,18.2
