timestamp,station,metric_value
2025-01-15,Austin,6.4
2025-01-15,Dallas,8.2
2025-01-15,Houston,9.4
2025-01-08,Austin,5.6
2025-01-08,Dallas,9.0
2025-01-08,Houston,11.8
2025-01-01,Austin,8.5
2025-01-01,Dallas,8.2
2025-01-01,Houston,8.8
2024-12-25,Austin,5.5
2024-12-25,Dallas,4.1
2024-12-25,Houston,14.1
2024-12-18,Austin,6.1
2024-12-18,Dallas,7.0
2024-12-18,Houston,9.9
2024-12-11,Austin,4.6
2024-12-11,Dallas,7.5
2024-12-11,Houston,8.9
2024-12-04,Austin,5.0
2024-12-04,Dallas,7.3
2024-12-04,Houston,12.8
2024-11-27,Austin,7.8
2024-11-27,Dallas,9.7
2024-11-27,Houston,12.0
2024-11-20,Austin,6.3
2024-11-20,Dallas,9.6
2024-11-20,Houston,10.7
2024-11-13,Austin,5.6
2024-11-13,Dallas,7.7
2024-11-13,Houston,9.3
2024-11-06,Austin,6.5
2024-11-06,Dallas,7.5
2024-11-06,Houston,9.9
2024-10-30,Austin,5.0
2024-10-30,Dallas,7.4
2024-10-30,Houston,8.6
2024-10-23,Austin,6.8
2024-10-23,Dallas,9.0
2024-10-23,Houston,11.2
2024-10-16,Austin,6.0
2024-10-16,Dallas,8.0
2024-10-16,Houston,8.6
2024-10-09,Austin,6.4
2024-10-09,Dallas,7.4
2024-10-09,Houston,8.9
2024-10-02,Austin,7.1
2024-10-02,Dallas,7.3
2024-10-02,Houston,11.1
2024-09-25,Austin,6.5
2024-09-25,Dallas,6.5
2024-09-25,Houston,10.6
2024-09-18,Austin,6.6
2024-09-18,Dallas,8.5
2024-09-18,Houston,9.7
2024-09-11,Austin,5.8
2024-09-11,Dallas,4.1
2024-09-11,Houston,9.2
2024-09-04,Austin,7.4
2024-09-04,Dallas,10.4
2024-09-04,Houston,12.3
2024-08-28,Austin,7.5
2024-08-28,Dallas,7.1
2024-08-28,Houston,7.2
2024-08-21,Austin,5.0
2024-08-21,Dallas,10.6
2024-08-21,Houston,11.1
2024-08-14,Austin,6.6
2024-08-14,Dallas,7.6
2024-08-14,Houston,10.0
2024-08-07,Austin,6.6
2024-08-07,Dallas,8.3
2024-08-07,Houston,10.7
2024-07-31,Austin,5.2
2024-07-31,Dallas,8.5
2024-07-31,Houston,9.8
2024-07-24,Austin,9.1
2024-07-24,Dallas,7.5
2024-07-24,Houston,9.0
2024-07-17,Austin,6.5
2024-07-17,Dallas,10.5
2024-07-17,Houston,9.5
2024-07-10,Austin,5.5
2024-07-10,Dallas,8.4
2024-07-10,Houston,8.5
2024-07-03,Austin,4.9
2024-07-03,Dallas,9.7
2024-07-03,Houston,10.5
2024-06-26,Austin,6.6
2024-06-26,Dallas,8.4
2024-06-26,Houston,8.3
2024-06-19,Austin,8.0
2024-06-19,Dallas,9.0
2024-06-19,Houston,11.6
2024-06-12,Austin,5.7
2024-06-12,Dallas,7.7
2024-06-12,Houston,9.1
2024-06-05,Austin,5.7
2024-06-05,Dallas,7.0
2024-06-05,Houston,10.6
2024-05-29,Austin,6.1
2024-05-29,Dallas,10.7
2024-05-29,Houston,10.1
2024-05-22,Austin,6.0
2024-05-22,Dallas,8.0
2024-05-22,Houston,8.6
2024-05-15,Austin,6.4
2024-05-15,Dallas,7.4
2024-05-15,Houston,8.9
2024-05-08,Austin,7.1
2024-05-08,Dallas,7.3
2024-05-08,Houston,11.1
2024-05-01,Austin,6.5
2024-05-01,Dallas,6.5
2024-05-01,Houston,10.6
2024-04-24,Austin,6.6
2024-04-24,Dallas,8.5
2024-04-24,Houston,9.7
2024-04-17,Austin,5.8
2024-04-17,Dallas,4.1
2024-04-17,Houston,9.2
2024-04-10,Austin,7.4
2024-04-10,Dallas,10.4
2024-04-10,Houston,12.3
2024-04-03,Austin,7.5
2024-04-03,Dallas,7.1
2024-04-03,Houston,7.2
2024-03-27,Austin,5.0
2024-03-27,Dallas,10.6
2024-03-27,Houston,11.1
2024-03-20,Austin,6.6
2024-03-20,Dallas,7.6
2024-03-20,Houston,10.0
2024-03-13,Austin,6.6
2024-03-13,Dallas,8.3
2024-03-13,Houston,10.7
2024-03-06,Austin,5.2
2024-03-06,Dallas,8.5
2024-03-06,Houston,9.8
2024-02-28,Austin,9.1
2024-02-28,Dallas,7.5
2024-02-28,Houston,9.0
2024-02-21,Austin,6.5
2024-02-21,Dallas,10.5
2024-02-21,Houston,9.5
2024-02-14,Austin,5.5
2024-02-14,Dallas,8.4
2024-02-14,Houston,8.5
2024-02-07,Austin,4.9
2024-02-07,Dallas,9.7
2024-02-07,Houston,10.5
2024-01-31,Austin,6.6
2024-01-31,Dallas,8.4
2024-01-31,Houston,8.3
2024-01-24,Austin,8.0
2024-01-24,Dallas,9.0
2024-01-24,Houston,11.6
2024-01-17,Austin,5.7
2024-01-17,Dallas,7.7
2024-01-17,Houston,9.1
2024-01-10,Austin,5.7
2024-01-10,Dallas,7.0
2024-01-10,Houston,10.6
2024-01-03,Austin,6.1
2024-01-03,Dallas,10.7
2024-01-03,Houston,10.1
