Day of LEG_DEP_DT,EMO,EMODenominator,EMONumerator
"October 9, 2025",0.984593838,714,11
"October 8, 2025",0.985714286,700,10
"October 7, 2025",0.982733813,695,12
"October 6, 2025",0.978902954,711,15
"October 5, 2025",0.981507824,703,13
"October 4, 2025",0.981159420,690,13
"October 3, 2025",0.974860335,716,18
"October 2, 2025",0.976256983,716,17
"October 1, 2025",0.982008996,667,12
"September 30, 2025",0.986445783,664,9
"September 29, 2025",0.978873239,710,15
"September 28, 2025",0.979621543,687,14
"September 27, 2025",0.973724884,647,17
"September 26, 2025",0.981321839,696,13
"September 25, 2025",0.980141844,705,14
"September 24, 2025",0.980303030,660,13
"September 23, 2025",0.983333333,660,11
"September 22, 2025",0.975886525,705,17
"September 21, 2025",0.986937591,689,9
"September 20, 2025",0.987711214,651,8
"September 19, 2025",0.979971388,699,14
"September 18, 2025",0.971014493,690,20
"September 17, 2025",0.977409639,664,15
"September 16, 2025",0.983408748,663,11
"September 15, 2025",0.982832618,699,12
"September 14, 2025",0.976878613,692,16
"September 13, 2025",0.974124810,657,17
"September 12, 2025",0.985875706,708,10
"September 11, 2025",0.978601997,701,15
"September 10, 2025",0.980362538,662,13
