timestamp,station,metric_value
2023-01-02,Austin,1.8
2023-01-02,Dallas,3.6
2023-01-02,Houston,3.6
2023-01-09,Austin,1.9
2023-01-09,Dallas,2.3
2023-01-09,Houston,3.3
2023-01-16,Austin,2.1
2023-01-16,Dallas,3.6
2023-01-16,Houston,3.0
2023-01-23,Austin,2.2
2023-01-23,Dallas,2.3
2023-01-23,Houston,4.3
2023-01-30,Austin,2.0
2023-01-30,Dallas,2.9
2023-01-30,Houston,4.1
2023-02-06,Austin,1.8
2023-02-06,Dallas,3.4
2023-02-06,Houston,4.9
2023-02-13,Austin,1.8
2023-02-13,Dallas,3.0
2023-02-13,Houston,4.3
2023-02-20,Austin,2.5
2023-02-20,Dallas,2.2
2023-02-20,Houston,4.2
2023-02-27,Austin,2.4
2023-02-27,Dallas,3.3
2023-02-27,Houston,4.1
2023-03-06,Austin,2.4
2023-03-06,Dallas,2.8
2023-03-06,Houston,3.9
2023-03-13,Austin,2.0
2023-03-13,Dallas,2.6
2023-03-13,Houston,4.0
2023-03-20,Austin,1.5
2023-03-20,Dallas,2.8
2023-03-20,Houston,5.8
2023-03-27,Austin,1.8
2023-03-27,Dallas,3.2
2023-03-27,Houston,4.7
2023-04-03,Austin,2.5
2023-04-03,Dallas,2.0
2023-04-03,Houston,5.1
2023-04-10,Austin,2.5
2023-04-10,Dallas,2.6
2023-04-10,Houston,4.4
2023-04-17,Austin,2.2
2023-04-17,Dallas,3.3
2023-04-17,Houston,4.4
2023-04-24,Austin,2.1
2023-04-24,Dallas,3.4
2023-04-24,Houston,4.4
2023-05-01,Austin,1.5
2023-05-01,Dallas,2.5
2023-05-01,Houston,4.4
2023-05-08,Austin,1.8
2023-05-08,Dallas,3.2
2023-05-08,Houston,3.2
2023-05-15,Austin,1.7
2023-05-15,Dallas,4.0
2023-05-15,Houston,5.1
2023-05-22,Austin,1.7
2023-05-22,Dallas,2.0
2023-05-22,Houston,3.8
2023-05-29,Austin,1.9
2023-05-29,Dallas,2.9
2023-05-29,Houston,4.3
2023-06-05,Austin,1.8
2023-06-05,Dallas,2.7
2023-06-05,Houston,4.7
2023-06-12,Austin,2.6
2023-06-12,Dallas,2.8
2023-06-12,Houston,4.9
2023-06-19,Austin,2.3
2023-06-19,Dallas,2.9
2023-06-19,Houston,4.9
2023-06-26,Austin,2.1
2023-06-26,Dallas,3.4
2023-06-26,Houston,5.0
2023-07-03,Austin,1.7
2023-07-03,Dallas,3.3
2023-07-03,Houston,4.9
2023-07-10,Austin,2.2
2023-07-10,Dallas,3.3
2023-07-10,Houston,4.7
2023-07-17,Austin,2.1
2023-07-17,Dallas,3.6
2023-07-17,Houston,4.5
2023-07-24,Austin,1.5
2023-07-24,Dallas,2.4
2023-07-24,Houston,4.2
2023-07-31,Austin,2.0
2023-07-31,Dallas,4.2
2023-07-31,Houston,4.9
2023-08-07,Austin,2.1
2023-08-07,Dallas,2.5
2023-08-07,Houston,4.2
2023-08-14,Austin,1.7
2023-08-14,Dallas,2.8
2023-08-14,Houston,3.8
2023-08-21,Austin,2.2
2023-08-21,Dallas,3.6
2023-08-21,Houston,4.8
2023-08-28,Austin,1.9
2023-08-28,Dallas,3.3
2023-08-28,Houston,4.3
2023-09-04,Austin,1.7
2023-09-04,Dallas,3.0
2023-09-04,Houston,4.5
2023-09-11,Austin,1.8
2023-09-11,Dallas,3.0
2023-09-11,Houston,4.0
2023-09-18,Austin,1.6
2023-09-18,Dallas,3.2
2023-09-18,Houston,4.1
2023-09-25,Austin,2.0
2023-09-25,Dallas,3.4
2023-09-25,Houston,4.7
2023-10-02,Austin,2.5
2023-10-02,Dallas,2.2
2023-10-02,Houston,5.2
2023-10-09,Austin,1.8
2023-10-09,Dallas,2.7
2023-10-09,Houston,4.8
2023-10-16,Austin,2.2
2023-10-16,Dallas,3.9
2023-10-16,Houston,4.1
2023-10-23,Austin,2.1
2023-10-23,Dallas,2.9
2023-10-23,Houston,3.8
2023-10-30,Austin,1.7
2023-10-30,Dallas,3.5
2023-10-30,Houston,4.4
2023-11-06,Austin,1.7
2023-11-06,Dallas,2.7
2023-11-06,Houston,4.9
2023-11-13,Austin,2.6
2023-11-13,Dallas,2.5
2023-11-13,Houston,3.4
2023-11-20,Austin,1.6
2023-11-20,Dallas,2.8
2023-11-20,Houston,5.7
2023-11-27,Austin,2.1
2023-11-27,Dallas,1.9
2023-11-27,Houston,5.1
2023-12-04,Austin,1.9
2023-12-04,Dallas,2.8
2023-12-04,Houston,4.5
2023-12-11,Austin,1.9
2023-12-11,Dallas,3.3
2023-12-11,Houston,4.3
2023-12-18,Austin,2.4
2023-12-18,Dallas,2.4
