timestamp,station,metric_value
2023-01-02,Austin,10.4
2023-01-02,Dallas,18.9
2023-01-02,Houston,12.2
2023-01-09,Austin,11.0
2023-01-09,Dallas,15.7
2023-01-09,Houston,18.6
2023-01-16,Austin,12.8
2023-01-16,Dallas,10.7
2023-01-16,Houston,19.9
2023-01-23,Austin,13.8
2023-01-23,Dallas,17.2
2023-01-23,Houston,16.8
2023-01-30,Austin,11.1
2023-01-30,Dallas,15.9
2023-01-30,Houston,14.9
2023-02-06,Austin,9.6
2023-02-06,Dallas,15.7
2023-02-06,Houston,14.4
2023-02-13,Austin,14.1
2023-02-13,Dallas,12.1
2023-02-13,Houston,16.1
2023-02-20,Austin,8.4
2023-02-20,Dallas,14.3
2023-02-20,Houston,15.8
2023-02-27,Austin,14.0
2023-02-27,Dallas,9.3
2023-02-27,Houston,16.0
2023-03-06,Austin,13.2
2023-03-06,Dallas,15.6
2023-03-06,Houston,19.2
2023-03-13,Austin,11.3
2023-03-13,Dallas,14.4
2023-03-13,Houston,14.2
2023-03-20,Austin,9.8
2023-03-20,Dallas,14.0
2023-03-20,Houston,14.9
2023-03-27,Austin,12.7
2023-03-27,Dallas,16.3
2023-03-27,Houston,17.8
2023-04-03,Austin,11.2
2023-04-03,Dallas,16.5
2023-04-03,Houston,18.4
2023-04-10,Austin,10.8
2023-04-10,Dallas,16.2
2023-04-10,Houston,16.9
2023-04-17,Austin,10.6
2023-04-17,Dallas,12.9
2023-04-17,Houston,17.8
2023-04-24,Austin,15.0
2023-04-24,Dallas,10.4
2023-04-24,Houston,18.1
2023-05-01,Austin,8.9
2023-05-01,Dallas,15.0
2023-05-01,Houston,14.8
2023-05-08,Austin,12.2
2023-05-08,Dallas,15.9
2023-05-08,Houston,13.1
2023-05-15,Austin,13.6
2023-05-15,Dallas,17.6
2023-05-15,Houston,12.0
2023-05-22,Austin,14.1
2023-05-22,Dallas,13.4
2023-05-22,Houston,15.3
2023-05-29,Austin,11.3
2023-05-29,Dallas,13.0
2023-05-29,Houston,11.0
2023-06-05,Austin,12.2
2023-06-05,Dallas,17.5
2023-06-05,Houston,14.3
2023-06-12,Austin,13.9
2023-06-12,Dallas,13.9
2023-06-12,Houston,15.4
2023-06-19,Austin,11.3
2023-06-19,Dallas,10.7
2023-06-19,Houston,17.3
2023-06-26,Austin,13.6
2023-06-26,Dallas,17.0
2023-06-26,Houston,13.6
2023-07-03,Austin,12.2
2023-07-03,Dallas,13.1
2023-07-03,Houston,14.1
2023-07-10,Austin,10.9
2023-07-10,Dallas,14.2
2023-07-10,Houston,17.2
2023-07-17,Austin,10.9
2023-07-17,Dallas,13.8
2023-07-17,Houston,18.1
2023-07-24,Austin,13.8
2023-07-24,Dallas,13.0
