timestamp,station,metric_value
2023-01-02,Austin,7.7
2023-01-02,Dallas,7.9
2023-01-02,Houston,11.1
2023-01-09,Austin,8.2
2023-01-09,Dallas,7.4
2023-01-09,Houston,9.5
2023-01-16,Austin,7.2
2023-01-16,Dallas,5.2
2023-01-16,Houston,9.3
2023-01-23,Austin,7.2
2023-01-23,Dallas,6.3
2023-01-23,Houston,10.1
2023-01-30,Austin,6.2
2023-01-30,Dallas,8.5
2023-01-30,Houston,7.3
2023-02-06,Austin,6.3
2023-02-06,Dallas,9.8
2023-02-06,Houston,11.1
2023-02-13,Austin,5.2
2023-02-13,Dallas,7.0
2023-02-13,Houston,10.8
2023-02-20,Austin,6.7
2023-02-20,Dallas,9.5
2023-02-20,Houston,10.5
2023-02-27,Austin,6.6
2023-02-27,Dallas,9.4
2023-02-27,Houston,8.8
2023-03-06,Austin,7.3
2023-03-06,Dallas,7.1
2023-03-06,Houston,10.9
2023-03-13,Austin,6.2
2023-03-13,Dallas,7.4
2023-03-13,Houston,13.8
2023-03-20,Austin,7.1
2023-03-20,Dallas,7.6
2023-03-20,Houston,9.2
2023-03-27,Austin,6.0
2023-03-27,Dallas,9.7
2023-03-27,Houston,10.3
2023-04-03,Austin,6.1
2023-04-03,Dallas,11.3
2023-04-03,Houston,11.3
2023-04-10,Austin,7.2
2023-04-10,Dallas,8.1
2023-04-10,Houston,8.8
2023-04-17,Austin,7.3
2023-04-17,Dallas,7.2
2023-04-17,Houston,8.5
2023-04-24,Austin,6.8
2023-04-24,Dallas,8.8
2023-04-24,Houston,11.7
2023-05-01,Austin,5.7
2023-05-01,Dallas,9.7
2023-05-01,Houston,11.2
2023-05-08,Austin,7.7
2023-05-08,Dallas,8.6
2023-05-08,Houston,9.9
2023-05-15,Austin,5.7
2023-05-15,Dallas,11.7
2023-05-15,Houston,7.5
2023-05-22,Austin,4.6
2023-05-22,Dallas,6.0
2023-05-22,Houston,8.5
2023-05-29,Austin,5.3
2023-05-29,Dallas,7.7
2023-05-29,Houston,10.2
2023-06-05,Austin,6.0
2023-06-05,Dallas,7.7
2023-06-05,Houston,9.9
2023-06-12,Austin,6.3
2023-06-12,Dallas,8.4
2023-06-12,Houston,9.1
2023-06-19,Austin,5.4
2023-06-19,Dallas,6.2
2023-06-19,Houston,10.5
2023-06-26,Austin,7.0
2023-06-26,Dallas,8.4
2023-06-26,Houston,11.8
2023-07-03,Austin,5.8
2023-07-03,Dallas,8.1
2023-07-03,Houston,12.5
2023-07-10,Austin,4.7
2023-07-10,Dallas,8.0
2023-07-10,Houston,8.6
2023-07-17,Austin,6.5
2023-07-17,Dallas,6.8
2023-07-17,Houston,13.5
2023-07-24,Austin,5.3
2023-07-24,Dallas,7.1
2023-07-24,Houston,13.3
2023-07-31,Austin,8.3
2023-07-31,Dallas,7.0
2023-07-31,Houston,9.5
2023-08-07,Austin,5.6
2023-08-07,Dallas,8.5
2023-08-07,Houston,9.4
2023-08-14,Austin,5.3
2023-08-14,Dallas,6.0
2023-08-14,Houston,8.8
2023-08-21,Austin,6.6
2023-08-21,Dallas,8.9
2023-08-21,Houston,12.6
2023-08-28,Austin,7.8
2023-08-28,Dallas,7.7
2023-08-28,Houston,10.2
2023-09-04,Austin,5.7
2023-09-04,Dallas,7.6
2023-09-04,Houston,11.3
2023-09-11,Austin,6.5
2023-09-11,Dallas,8.1
2023-09-11,Houston,11.2
2023-09-18,Austin,6.4
2023-09-18,Dallas,8.6
2023-09-18,Houston,10.2
2023-09-25,Austin,5.4
2023-09-25,Dallas,8.8
2023-09-25,Houston,10.2
2023-10-02,Austin,7.0
2023-10-02,Dallas,7.9
2023-10-02,Houston,10.8
2023-10-09,Austin,6.3
2023-10-09,Dallas,6.3
2023-10-09,Houston,10.4
2023-10-16,Austin,8.5
2023-10-16,Dallas,10.4
2023-10-16,Houston,10.7
2023-10-23,Austin,5.4
2023-10-23,Dallas,7.8
2023-10-23,Houston,10.0
2023-10-30,Austin,6.9
2023-10-30,Dallas,7.9
2023-10-30,Houston,10.1
2023-11-06,Austin,6.8
2023-11-06,Dallas,7.6
2023-11-06,Houston,11.1
2023-11-13,Austin,6.9
2023-11-13,Dallas,8.2
2023-11-13,Houston,12.1
2023-11-20,Austin,7.4
2023-11-20,Dallas,5.9
2023-11-20,Houston,9.8
2023-11-27,Austin,5.0
2023-11-27,Dallas,7.5
2023-11-27,Houston,12.6
2023-12-04,Austin,7.5
2023-12-04,Dallas,7.2
2023-12-04,Houston,9.9
2023-12-11,Austin,8.1
2023-12-11,Dallas,7.3
2023-12-11,Houston,9.2
2023-12-18,Austin,5.2
2023-12-18,Dallas,7.1
2023-12-18,Houston,11.2
2023-12-25,Austin,8.1
2023-12-25,Dallas,7.6
2023-12-25,Houston,10.1
2024-01-01,Austin,5.6
2024-01-01,Dallas,6.5
2024-01-01,Houston,9.0
2024-01-08,Austin,5.5
2024-01-08,Dallas,8.9
2024-01-08,Houston,10.1
2024-01-15,Austin,6.0
2024-01-15,Dallas,6.6
2024-01-15,Houston,9.6
2024-01-22,Austin,6.7
2024-01-22,Dallas,7.8
2024-01-22,Houston,10.0
2024-01-29,Austin,5.8
2024-01-29,Dallas,8.3
2024-01-29,Houston,8.9
2024-02-05,Austin,9.3
2024-02-05,Dallas,7.5
2024-02-05,Houston,11.4
2024-02-12,Austin,5.0
2024-02-12,Dallas,6.5
2024-02-12,Houston,12.0
2024-02-19,Austin,6.3
2024-02-19,Dallas,5.8
2024-02-19,Houston,10.9
2024-02-26,Austin,5.3
2024-02-26,Dallas,5.7
2024-02-26,Houston,13.4
2024-03-04,Austin,6.0
2024-03-04,Dallas,7.2
2024-03-04,Houston,13.2
2024-03-11,Austin,5.4
2024-03-11,Dallas,9.0
2024-03-11,Houston,9.4
2024-03-18,Austin,7.5
2024-03-18,Dallas,6.9
2024-03-18,Houston,8.6
2024-03-25,Austin,7.3
2024-03-25,Dallas,9.3
2024-03-25,Houston,11.0
2024-04-01,Austin,7.1
2024-04-01,Dallas,7.1
2024-04-01,Houston,9.1
2024-04-08,Austin,5.3
2024-04-08,Dallas,7.8
2024-04-08,Houston,11.6
2024-04-15,Austin,4.4
2024-04-15,Dallas,8.0
2024-04-15,Houston,11.3
2024-04-22,Austin,3.9
2024-04-22,Dallas,7.2
2024-04-22,Houston,9.7
2024-04-29,Austin,5.6
2024-04-29,Dallas,8.2
2024-04-29,Houston,12.1
2024-05-06,Austin,7.7
2024-05-06,Dallas,6.4
2024-05-06,Houston,11.8
2024-05-13,Austin,7.1
2024-05-13,Dallas,7.8
2024-05-13,Houston,11.1
2024-05-20,Austin,7.2
2024-05-20,Dallas,6.7
2024-05-20,Houston,9.1
2024-05-27,Austin,5.4
2024-05-27,Dallas,9.3
2024-05-27,Houston,10.0
2024-06-03,Austin,4.9
2024-06-03,Dallas,8.7
2024-06-03,Houston,12.2
2024-06-10,Austin,6.3
2024-06-10,Dallas,7.5
2024-06-10,Houston,9.3
2024-06-17,Austin,7.5
2024-06-17,Dallas,6.8
2024-06-17,Houston,11.3
2024-06-24,Austin,7.8
2024-06-24,Dallas,5.3
2024-06-24,Houston,10.0
2024-07-01,Austin,7.2
2024-07-01,Dallas,9.0
2024-07-01,Houston,7.2
2024-07-08,Austin,5.5
2024-07-08,Dallas,9.1
2024-07-08,Houston,12.4
2024-07-15,Austin,5.7
2024-07-15,Dallas,9.7
2024-07-15,Houston,10.0
2024-07-22,Austin,7.7
2024-07-22,Dallas,7.5
2024-07-22,Houston,8.2
2024-07-29,Austin,6.3
2024-07-29,Dallas,6.0
2024-07-29,Houston,11.2
2024-08-05,Austin,5.5
2024-08-05,Dallas,7.7
2024-08-05,Houston,10.6
2024-08-12,Austin,5.7
2024-08-12,Dallas,9.3
2024-08-12,Houston,11.0
2024-08-19,Austin,7.6
2024-08-19,Dallas,10.1
2024-08-19,Houston,8.3
2024-08-26,Austin,6.7
2024-08-26,Dallas,7.2
2024-08-26,Houston,9.4
2024-09-02,Austin,5.3
2024-09-02,Dallas,7.0
2024-09-02,Houston,11.4
2024-09-09,Austin,5.9
2024-09-09,Dallas,7.8
2024-09-09,Houston,8.6
2024-09-16,Austin,6.5
2024-09-16,Dallas,9.8
2024-09-16,Houston,10.8
2024-09-23,Austin,6.3
2024-09-23,Dallas,7.8
2024-09-23,Houston,10.3
2024-09-30,Austin,5.0
2024-09-30,Dallas,7.9
2024-09-30,Houston,11.6
2024-10-07,Austin,8.1
2024-10-07,Dallas,8.5
2024-10-07,Houston,9.6
2024-10-14,Austin,7.3
2024-10-14,Dallas,9.0
2024-10-14,Houston,10.4
2024-10-21,Austin,7.2
2024-10-21,Dallas,9.4
2024-10-21,Houston,11.2
2024-10-28,Austin,6.9
2024-10-28,Dallas,7.3
2024-10-28,Houston,12.4
2024-11-04,Austin,7.2
2024-11-04,Dallas,9.1
2024-11-04,Houston,10.1
2024-11-11,Austin,5.7
2024-11-11,Dallas,10.3
2024-11-11,Houston,8.9
2024-11-18,Austin,6.7
